,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
64,2023-01-17,GÜNDÜZ,A0022,10.08,2.36,Patik,2023-2,2023,3
65,2023-01-10,GECE,A0003,11.58,4.07,Soket,3 LU DERBILI PURPLE/PINK,2023,2
66,2023-01-08,GÜNDÜZ,A0035,18.75,7.47,Soket,TEK ARI,2023,1
67,2023-02-03,GÜNDÜZ,A0001,6.5,2.23,Soket,WHITE HEEL TOE ANKLE,2023,5
68,2023-01-27,GECE,A0022,15.08,3.45,Patik,2023-2,2023,4
69,2023-02-20,GECE,A0014,15.67,4.93,Patik,CODE 3P.XX SHORT,2023,8
70,2023-01-31,GÜNDÜZ,A0036,7.67,3.64,Soket,SÜPERCITY TENIS,2023,5
71,2023-02-01,GECE,A0006,12.0,0.0,Patik,CARERA PATİK,2023,5
72,2023-01-23,GECE,A0016,15.67,4.9,Patik,CODE 3P.XX SHORT,2023,4
73,2023-01-02,GÜNDÜZ,A0012,9.83,3.79,Soket,3 LU DERBI CEMBERLI ,2023,1
74,2023-02-13,GÜNDÜZ,A0024,11.25,1.97,Babet,DALMACYA  BABET,2023,7
75,2023-02-03,GÜNDÜZ,A0027,5.33,1.67,Kısa Konç,KISAKONC,2023,5
76,2023-02-22,GÜNDÜZ,A0011,9.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
77,2023-01-26,GÜNDÜZ,A0033,13.83,2.53,Babet,2023-3,2023,4
78,2023-01-12,GÜNDÜZ,A0018,16.0,0.0,Patik,BAYAN SIMLI PUANLI PATIK,2023,2
79,2023-01-15,GÜNDÜZ,A0021,5.08,1.86,Soket,FLORAL ANKLE,2023,2
80,2023-01-27,GÜNDÜZ,A0018,24.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
81,2023-01-06,GECE,A0003,11.67,4.08,Soket,3 LU DERBILI PURPLE/PINK,2023,1
82,2023-01-02,GECE,A0016,17.17,5.06,Kısa Konç,BRK-2,2023,1
83,2023-02-16,GÜNDÜZ,A0005,6.92,3.6,Soket,3P-TENİS HAVLU,2023,7
84,2023-02-10,GECE,A0031,22.75,3.89,Babet,BUYUK  YILDIZ BABET,2023,6
85,2023-01-20,GECE,A0007,13.75,2.88,Patik,2023-2,2023,3
86,2023-01-06,GECE,A0035,11.42,4.63,Soket,TEK ARI,2023,1
87,2023-02-10,GECE,A0024,22.67,3.94,Babet,DALMACYA  BABET,2023,6
88,2023-01-26,GÜNDÜZ,A0014,14.0,4.95,Kısa Konç,KISAKONC,2023,4
89,2023-01-13,GECE,A0009,15.67,3.73,Soket,POLKA DOTA TRAINER BLUE,2023,2
90,2023-02-21,GÜNDÜZ,A0009,10.67,2.33,Patik,KABARTMA EKOSE,2023,8
91,2023-02-22,GÜNDÜZ,A0010,8.5,2.87,Soket,mıck mause,2023,8
92,2023-01-16,GECE,A0005,11.83,4.58,Soket,MAVI COKLU ARI,2023,3
93,2023-01-16,GÜNDÜZ,A0006,10.0,0.0,Patik,CARERA PATİK,2023,3
94,2023-01-24,GÜNDÜZ,A0031,8.75,1.54,Babet,2023-3,2023,4
95,2023-02-16,GECE,A0019,16.92,3.58,Patik,TEK NOKTA PATİK,2023,7
96,2023-01-18,GECE,A0012,12.92,5.29,Soket,BUYUK KALP,2023,3
97,2023-02-13,GECE,A0036,11.75,6.93,Soket,3P-TENİS HAVLU,2023,7
98,2023-01-31,GECE,A0026,17.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,5
99,2023-01-18,GÜNDÜZ,A0025,10.67,3.42,Patik,CODE 3P.XX SHORT,2023,3
100,2023-01-30,GECE,A0032,6.25,3.67,Havlu,HAVLU TENIS,2023,5
101,2023-02-14,GÜNDÜZ,A0018,14.0,0.0,Patik,DERBILI NOKTALI,2023,7
102,2023-02-13,GECE,A0008,11.5,2.05,Babet,KAMUFLAJ  BABET,2023,7
103,2023-01-19,GÜNDÜZ,A0002,6.33,2.4,Soket,FLORAL ANKLE,2023,3
104,2023-01-07,GECE,A0003,20.08,7.18,Soket,3 LU DERBILI PURPLE/PINK,2023,1
105,2023-01-27,GÜNDÜZ,A0017,12.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
106,2023-01-27,GECE,A0010,15.58,4.48,Kısa Konç,KISAKONC,2023,4
107,2023-01-13,GECE,A0012,14.5,4.67,Soket,2023-1,2023,2
108,2023-01-26,GÜNDÜZ,A0026,17.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
109,2023-01-27,GECE,A0017,14.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,4
110,2023-01-20,GECE,A0025,18.25,5.73,Patik,CODE 3P.XX SHORT,2023,3
111,2023-01-18,GECE,A0024,13.33,3.03,Patik,2023-2,2023,3
112,2023-02-02,GECE,A0029,12.25,4.12,Soket,WHITE HEEL TOE ANKLE,2023,5
113,2023-02-21,GECE,A0031,9.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
114,2023-01-02,GECE,A0032,10.42,4.03,Soket,DALSIZ PAPTYA,2023,1
115,2023-01-25,GÜNDÜZ,A0003,10.58,2.99,Patik,CODE 3P.XX SHORT,2023,4
116,2023-02-13,GÜNDÜZ,A0018,2.0,0.0,Patik,DERBILI NOKTALI,2023,7
