,Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad,Yıl,Hafta
711,2023-01-22,GECE,A0030,26.92,7.5,Patik,CODE 3P.XX SHORT,2023,3
712,2023-02-12,GECE,A0028,16.67,5.7,Soket,PUNALI SOKET,2023,6
713,2023-01-15,GÜNDÜZ,A0002,19.33,7.65,Soket,FLORAL ANKLE,2023,2
714,2023-02-20,GECE,A0020,8.92,3.31,Soket,CEMBERLI SOKET,2023,8
715,2023-02-12,GECE,A0032,19.67,11.83,Soket,3P-TENİS HAVLU,2023,6
716,2023-02-16,GÜNDÜZ,A0035,8.75,2.72,Patik,CODE 3P.XX SHORT,2023,7
717,2023-01-05,GÜNDÜZ,A0005,8.5,3.31,Soket,MAVI COKLU ARI,2023,1
718,2023-02-03,GÜNDÜZ,A0008,6.0,1.14,Babet,KAMUFLAJ  BABET,2023,5
719,2023-01-12,GÜNDÜZ,A0015,10.33,3.73,Soket,2023-1,2023,2
720,2023-01-19,GECE,A0021,17.25,4.42,Patik,CODE 3P.XX SHORT,2023,3
721,2023-02-21,GECE,A0030,13.25,4.64,Soket,KALPLI SOKET,2023,8
722,2023-02-10,GECE,A0035,24.0,8.46,Kısa Konç,KISAKONC,2023,6
723,2023-02-12,GECE,A0029,20.5,7.8,Soket,PUNALI SOKET,2023,6
724,2023-02-07,GECE,A0023,13.92,3.0,Patik,2023-2,2023,6
725,2023-01-13,GÜNDÜZ,A0036,8.83,2.88,Soket,2023-1,2023,2
726,2023-01-24,GÜNDÜZ,A0010,11.25,2.93,Patik,CODE 3P.XX SHORT,2023,4
727,2023-01-20,GECE,A0022,14.92,3.46,Patik,2023-2,2023,3
728,2023-01-19,GECE,A0035,16.25,5.11,Patik,CODE 3P.XX SHORT,2023,3
729,2023-01-27,GECE,A0018,18.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
730,2023-02-05,GECE,A0018,31.0,0.0,Patik,KARE SIMLI PATİK,2023,5
731,2023-01-13,GECE,A0010,11.08,3.2,Soket,TENIS KISAKONC,2023,2
732,2023-02-22,GÜNDÜZ,A0016,11.17,3.5,Patik,CODE 3P.XX SHORT,2023,8
733,2023-01-11,GECE,A0035,11.92,4.7,Soket,TEK ARI,2023,2
734,2023-01-02,GECE,A0033,11.42,4.69,Soket,DENIZ MAHSULLERİ,2023,1
735,2023-02-09,GECE,A0009,16.5,3.54,Patik,D,2023,6
736,2023-01-26,GÜNDÜZ,A0012,9.92,2.93,Patik,CODE 3P.XX SHORT,2023,4
737,2023-02-20,GECE,A0033,7.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
738,2023-01-10,GECE,A0024,11.58,4.49,Soket,FLAMINGO SOKET,2023,2
739,2023-02-08,GECE,A0003,15.67,4.39,Patik,CODE 3P.XX SHORT,2023,6
740,2023-01-23,GÜNDÜZ,A0025,11.5,3.69,Patik,CODE 3P.XX SHORT,2023,4
741,2023-01-11,GECE,A0020,12.08,4.26,Soket,3 LU DERBILI PURPLE/PINK,2023,2
742,2023-01-06,GECE,A0034,2.0,0.0,Patik,CARERA PATİK,2023,1
743,2023-02-16,GECE,A0035,16.17,5.04,Patik,CODE 3P.XX SHORT,2023,7
744,2023-02-01,GECE,A0013,14.83,4.91,Patik,CODE 3P.XX SHORT,2023,5
745,2023-01-23,GECE,A0004,15.42,4.8,Patik,CODE 3P.XX SHORT,2023,4
746,2023-02-02,GÜNDÜZ,A0023,9.33,2.21,Patik,2023-2,2023,5
747,2023-01-26,GÜNDÜZ,A0007,10.25,2.15,Patik,2023-2,2023,4
748,2023-01-24,GÜNDÜZ,A0029,9.42,2.48,Patik,CODE 3P.XX SHORT,2023,4
749,2023-02-01,GECE,A0024,12.75,2.34,Babet,NOKTALI  BABET,2023,5
750,2023-01-27,GÜNDÜZ,A0032,6.08,4.06,Havlu,HAVLU TENIS,2023,4
751,2023-01-13,GÜNDÜZ,A0031,2.0,0.38,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
752,2023-02-10,GECE,A0026,29.0,0.0,Patik,DERBILI NOKTALI,2023,6
753,2023-01-06,GÜNDÜZ,A0034,9.0,0.0,Patik,CARERA PATİK,2023,1
754,2023-01-23,GÜNDÜZ,A0035,11.08,3.43,Patik,CODE 3P.XX SHORT,2023,4
755,2023-02-20,GÜNDÜZ,A0021,11.92,2.24,Patik,KDK CEMBER,2023,8
756,2023-01-22,GECE,A0025,26.08,8.44,Patik,CODE 3P.XX SHORT,2023,3
757,2023-01-27,GECE,A0015,14.5,5.17,Kısa Konç,KISAKONC,2023,4
758,2023-02-16,GÜNDÜZ,A0020,6.67,2.47,Soket,CEMBERLI SOKET,2023,7
759,2023-01-26,GÜNDÜZ,A0021,3.75,1.13,Kısa Konç,KISAKONC,2023,4
760,2023-02-20,GÜNDÜZ,A0029,7.0,2.72,Soket,PUNALI SOKET,2023,8
761,2023-01-08,GÜNDÜZ,A0012,22.5,7.83,Soket,2023-1,2023,1
762,2023-02-22,GECE,A0030,13.33,4.66,Soket,KALPLI SOKET,2023,8
763,2023-02-08,GÜNDÜZ,A0015,9.67,2.94,Patik,CODE 3P.XX SHORT,2023,6
764,2023-02-16,GÜNDÜZ,A0001,7.83,2.78,Soket,KALPLI SOKET,2023,7
765,2023-01-30,GECE,A0022,15.08,3.45,Patik,2023-2,2023,5
766,2023-01-04,GECE,A0029,30.83,12.56,Soket,FLORAL ANKLE,2023,1
767,2023-02-20,GECE,A0024,13.92,2.46,Babet,2023-3,2023,8
768,2023-02-16,GÜNDÜZ,A0028,8.08,2.78,Soket,PUNALI SOKET,2023,7
769,2023-01-09,GECE,A0021,8.42,3.0,Soket,FLORAL ANKLE,2023,2
770,2023-01-26,GÜNDÜZ,A0006,15.0,0.0,Patik,CARERA PATİK,2023,4
771,2023-01-18,GECE,A0013,15.0,4.77,Patik,CODE 3P.XX SHORT,2023,3
772,2023-02-14,GÜNDÜZ,A0031,9.17,1.6,Babet,KARE  BABET,2023,7
773,2023-01-06,GÜNDÜZ,A0011,10.67,3.26,Kısa Konç,BRK-2,2023,1
774,2023-02-20,GÜNDÜZ,A0011,9.42,1.63,Babet,KALPLI   BABET,2023,8
775,2023-02-05,GECE,A0023,24.67,5.88,Patik,2023-2,2023,5
776,2023-01-19,GÜNDÜZ,A0031,9.08,1.6,Babet,2023-3,2023,3
777,2023-02-21,GÜNDÜZ,A0012,11.33,3.5,Patik,CODE 3P.XX SHORT,2023,8
778,2023-01-31,GÜNDÜZ,A0018,13.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,5
779,2023-01-24,GÜNDÜZ,A0021,11.67,3.07,Patik,CODE 3P.XX SHORT,2023,4
780,2023-02-07,GECE,A0033,8.25,1.44,Babet,KÜÇÜK YILDIZ BABET,2023,6
781,2023-01-11,GÜNDÜZ,A0008,7.75,3.24,Soket,DENIZ MAHSULLERİ,2023,2
782,2023-01-16,GECE,A0018,19.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
783,2023-02-05,GECE,A0022,25.17,6.03,Patik,2023-2,2023,5
784,2023-01-31,GECE,A0004,14.83,5.3,Kısa Konç,KISAKONC,2023,5
785,2023-01-09,GECE,A0004,11.92,4.6,Soket,TEK  PAPTYA,2023,2
786,2023-01-31,GECE,A0001,13.92,4.72,Soket,WHITE HEEL TOE ANKLE,2023,5
787,2023-02-10,GECE,A0030,19.33,7.37,Soket,KALPLI SOKET,2023,6
788,2023-01-16,GECE,A0003,11.67,4.06,Soket,RIB ANKLE PURPLE,2023,3
789,2023-01-23,GECE,A0010,16.08,4.18,Patik,CODE 3P.XX SHORT,2023,4
790,2023-01-02,GECE,A0005,11.75,4.61,Soket,MAVI COKLU ARI,2023,1
791,2023-01-02,GÜNDÜZ,A0010,10.42,3.32,Soket,FOX  SAKES,2023,1
792,2023-02-14,GÜNDÜZ,A0006,11.0,0.0,Patik,CARERA PATİK,2023,7
793,2023-02-16,GECE,A0016,15.33,4.78,Patik,CODE 3P.XX SHORT,2023,7
794,2023-02-01,GECE,A0023,14.25,3.36,Patik,2023-2,2023,5
795,2023-02-01,GÜNDÜZ,A0032,3.0,1.7,Havlu,HAVLU TENIS,2023,5
796,2023-02-22,GECE,A0001,12.75,4.24,Soket,KALPLI SOKET,2023,8
797,2023-02-13,GECE,A0030,12.17,4.53,Soket,KALPLI SOKET,2023,7
798,2023-02-16,GÜNDÜZ,A0015,10.83,3.37,Patik,CODE 3P.XX SHORT,2023,7
799,2023-01-20,GECE,A0018,16.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
800,2023-02-13,GÜNDÜZ,A0029,7.33,2.7,Soket,PUNALI SOKET,2023,7
801,2023-01-18,GECE,A0016,8.58,2.73,Patik,CODE 3P.XX SHORT,2023,3
802,2023-01-10,GÜNDÜZ,A0018,14.0,0.0,Patik,BAYAN SIMLI PUANLI PATIK,2023,2
803,2023-01-27,GECE,A0035,17.0,5.16,Patik,CODE 3P.XX SHORT,2023,4
804,2023-02-13,GÜNDÜZ,A0035,6.67,2.05,Patik,CODE 3P.XX SHORT,2023,7
805,2023-02-02,GÜNDÜZ,A0025,10.08,3.63,Kısa Konç,KISAKONC,2023,5
806,2023-01-08,GÜNDÜZ,A0023,23.92,8.46,Soket,2023-1,2023,1
807,2023-02-03,GECE,A0004,15.75,5.16,Kısa Konç,KISAKONC,2023,5
808,2023-02-13,GECE,A0034,9.0,0.0,Patik,CARERA PATİK,2023,7
809,2023-02-15,GECE,A0002,20.42,7.42,Soket,KALPLI SOKET,2023,7
810,2023-01-30,GECE,A0027,3.25,1.01,Kısa Konç,KISAKONC,2023,5
811,2023-01-18,GÜNDÜZ,A0028,12.25,3.04,Patik,CODE 3P.XX SHORT,2023,3
812,2023-01-15,GÜNDÜZ,A0023,20.75,7.33,Soket,2023-1,2023,2
813,2023-02-01,GECE,A0030,16.33,5.18,Kısa Konç,KISAKONC,2023,5
814,2023-02-16,GÜNDÜZ,A0025,9.0,0.0,Patik,CARERA PATİK,2023,7
815,2023-01-12,GECE,A0029,10.67,4.26,Soket,FLORAL ANKLE,2023,2
816,2023-01-05,GÜNDÜZ,A0003,8.08,2.85,Soket,3 LU DERBILI PURPLE/PINK,2023,1
817,2023-01-24,GÜNDÜZ,A0012,7.75,3.22,Soket,BRETTY KARAKTER,2023,4
818,2023-01-11,GÜNDÜZ,A0006,11.0,0.0,Patik,CARERA PATİK,2023,2
819,2023-02-03,GÜNDÜZ,A0006,9.0,0.0,Patik,CARERA PATİK,2023,5
820,2023-01-06,GECE,A0032,5.33,2.07,Soket,DALSIZ PAPTYA,2023,1
821,2023-01-19,GÜNDÜZ,A0006,9.0,0.0,Patik,CARERA PATİK,2023,3
822,2023-01-18,GECE,A0005,11.75,3.74,Patik,CODE 3P.XX SHORT,2023,3
823,2023-01-31,GECE,A0017,18.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,5
824,2023-01-24,GECE,A0005,14.5,3.36,Patik,2023-2,2023,4
825,2023-02-17,GECE,A0028,11.83,4.21,Soket,PUNALI SOKET,2023,7
826,2023-02-01,GECE,A0011,13.92,2.29,Babet,2023-3,2023,5
827,2023-01-20,GÜNDÜZ,A0033,8.5,1.53,Babet,2023-3,2023,3
828,2023-02-16,GÜNDÜZ,A0019,11.0,2.35,Patik,TEK NOKTA PATİK,2023,7
829,2023-02-03,GECE,A0020,16.92,4.73,Patik,CODE 3P.XX SHORT,2023,5
830,2023-01-31,GÜNDÜZ,A0005,8.58,4.22,Soket,3P-TENİS HAVLU,2023,5
831,2023-01-25,GECE,A0011,14.33,3.25,Patik,2023-2,2023,4
832,2023-02-03,GÜNDÜZ,A0030,9.42,2.98,Kısa Konç,KISAKONC,2023,5
833,2023-01-04,GECE,A0006,35.0,0.0,Patik,CARERA PATİK,2023,1
834,2023-02-07,GÜNDÜZ,A0007,7.92,1.35,Babet,CEMBERLI BABET,2023,6
835,2023-01-04,GECE,A0023,20.67,7.76,Soket,FLAMINGO SOKET,2023,1
836,2023-02-21,GÜNDÜZ,A0024,9.5,1.68,Babet,2023-3,2023,8
837,2023-01-19,GÜNDÜZ,A0027,11.42,2.86,Patik,CODE 3P.XX SHORT,2023,3
838,2023-01-30,GECE,A0001,16.5,4.91,Kısa Konç,KISAKONC,2023,5
839,2023-01-13,GECE,A0018,19.0,0.0,Patik,BAYAN SIMLI PUANLI PATIK,2023,2
840,2023-02-17,GÜNDÜZ,A0023,9.33,2.4,Soket,CEMBERLI YILDIZLI PATİK,2023,7
841,2023-01-20,GÜNDÜZ,A0028,5.75,1.56,Patik,CODE 3P.XX SHORT,2023,3
842,2023-02-10,GECE,A0011,22.25,3.9,Babet,CEMBERLI BABET,2023,6
843,2023-01-06,GECE,A0006,12.0,0.0,Patik,CARERA PATİK,2023,1
844,2023-02-17,GÜNDÜZ,A0027,0.08,0.0,Soket,PUNALI SOKET,2023,7
845,2023-02-08,GECE,A0014,15.25,4.66,Patik,CODE 3P.XX SHORT,2023,6
846,2023-01-31,GÜNDÜZ,A0013,5.08,1.7,Patik,CODE 3P.XX SHORT,2023,5
847,2023-02-09,GÜNDÜZ,A0012,10.33,3.55,Kısa Konç,KISAKONC,2023,6
848,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
849,2023-01-20,GÜNDÜZ,A0017,5.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
850,2023-01-19,GECE,A0015,15.67,4.93,Patik,CODE 3P.XX SHORT,2023,3
851,2023-01-16,GÜNDÜZ,A0005,8.42,3.27,Soket,MAVI COKLU ARI,2023,3
852,2023-02-07,GECE,A0025,15.17,5.43,Kısa Konç,KISAKONC,2023,6
853,2023-01-07,GECE,A0035,21.33,8.63,Soket,TEK ARI,2023,1
854,2023-01-11,GECE,A0034,17.0,0.0,Patik,CARERA PATİK,2023,2
855,2023-01-17,GÜNDÜZ,A0012,9.92,3.16,Soket,2023-1,2023,3
856,2023-02-16,GECE,A0010,16.25,4.04,Patik,CODE 3P.XX SHORT,2023,7
857,2023-01-22,GECE,A0018,16.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,3
858,2023-02-20,GECE,A0015,23.33,7.49,Patik,CODE 3P.XX SHORT,2023,8
859,2023-01-07,GECE,A0011,30.67,9.8,Kısa Konç,BRK-2,2023,1
860,2023-02-22,GECE,A0035,16.5,5.1,Patik,CODE 3P.XX SHORT,2023,8
861,2023-01-17,GECE,A0001,6.58,1.78,Soket,EDGE FRIIL,2023,3
862,2023-01-27,GÜNDÜZ,A0022,9.33,2.15,Patik,2023-2,2023,4
863,2023-02-17,GECE,A0019,14.67,3.01,Patik,CEMBERLI PATIK,2023,7
864,2023-01-12,GÜNDÜZ,A0027,8.92,2.9,Soket,MANTAR DESEN,2023,2
865,2023-02-15,GECE,A0004,24.0,0.0,Patik,CARERA PATİK,2023,7
866,2023-01-19,GECE,A0027,16.17,4.17,Patik,CODE 3P.XX SHORT,2023,3
867,2023-01-22,GECE,A0028,24.83,6.9,Patik,CODE 3P.XX SHORT,2023,3
868,2023-02-01,GÜNDÜZ,A0025,6.92,2.52,Kısa Konç,KISAKONC,2023,5
869,2023-01-11,GECE,A0017,17.0,0.0,Kısa Konç,TUBE CEMBERLI ,2023,2
870,2023-01-31,GECE,A0031,13.58,2.4,Babet,2023-3,2023,5
871,2023-01-06,GECE,A0021,12.08,4.46,Soket,FLORAL ANKLE,2023,1
872,2023-01-31,GECE,A0030,16.0,5.01,Kısa Konç,KISAKONC,2023,5
873,2023-01-16,GECE,A0027,12.75,4.16,Soket,MANTAR DESEN,2023,3
874,2023-01-27,GÜNDÜZ,A0010,10.17,3.05,Kısa Konç,KISAKONC,2023,4
875,2023-01-07,GECE,A0017,60.0,0.0,Kısa Konç,TUBE CEMBERLI ,2023,1
876,2023-02-22,GECE,A0017,17.0,0.0,Patik,SİM CEMBER PATİK,2023,8
877,2023-02-03,GÜNDÜZ,A0004,5.75,1.95,Kısa Konç,KISAKONC,2023,5
878,2023-02-13,GECE,A0009,16.58,3.59,Patik,TEK NOKTA PATİK,2023,7
879,2023-01-13,GÜNDÜZ,A0009,9.33,2.21,Soket,POLKA DOTA TRAINER BLUE,2023,2
880,2023-01-10,GECE,A0023,17.75,6.22,Soket,2023-1,2023,2
881,2023-01-03,GÜNDÜZ,A0029,7.5,3.0,Soket,FLORAL ANKLE,2023,1
882,2023-02-06,GECE,A0018,26.0,0.0,Patik,KARE SIMLI PATİK,2023,6
883,2023-02-03,GECE,A0019,5.25,1.15,Patik,BAYAN KONC SIMLI CEMBER,2023,5
884,2023-01-02,GECE,A0024,11.83,4.61,Soket,FLAMINGO SOKET,2023,1
885,2023-01-23,GÜNDÜZ,A0030,11.67,3.22,Patik,CODE 3P.XX SHORT,2023,4
886,2023-02-15,GECE,A0026,25.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
887,2023-01-24,GECE,A0034,15.0,0.0,Patik,CARERA PATİK,2023,4
888,2023-01-09,GÜNDÜZ,A0016,11.83,3.71,Kısa Konç,BRK-2,2023,2
889,2023-02-13,GECE,A0011,10.92,1.93,Babet,CEMBERLI BABET,2023,7
890,2023-01-12,GECE,A0006,14.0,0.0,Patik,CARERA PATİK,2023,2
891,2023-02-10,GECE,A0006,25.0,0.0,Patik,CARERA PATİK,2023,6
892,2023-01-08,GÜNDÜZ,A0031,21.25,3.98,Babet,3PK LOW CUT NO SHOW SOCKS,2023,1
893,2023-02-07,GÜNDÜZ,A0033,7.17,1.22,Babet,KÜÇÜK YILDIZ BABET,2023,6
894,2023-01-17,GECE,A0005,12.0,4.59,Soket,MAVI COKLU ARI,2023,3
895,2023-01-27,GECE,A0006,14.0,0.0,Patik,CARERA PATİK,2023,4
896,2023-01-27,GÜNDÜZ,A0003,9.58,2.66,Patik,CODE 3P.XX SHORT,2023,4
897,2023-01-15,GÜNDÜZ,A0035,10.92,4.38,Soket,TEK ARI,2023,2
898,2023-01-04,GECE,A0035,31.75,12.87,Soket,TEK ARI,2023,1
899,2023-01-22,GECE,A0013,24.83,8.17,Patik,CODE 3P.XX SHORT,2023,3
900,2023-01-19,GECE,A0013,15.25,4.71,Patik,CODE 3P.XX SHORT,2023,3
901,2023-02-17,GECE,A0016,15.75,4.91,Patik,CODE 3P.XX SHORT,2023,7
902,2023-01-12,GÜNDÜZ,A0019,8.33,2.87,Soket,3 LU DERBILI PURPLE/PINK,2023,2
903,2023-02-17,GÜNDÜZ,A0018,2.0,0.0,Patik,DERBILI NOKTALI,2023,7
904,2023-01-18,GECE,A0005,1.25,0.0,Soket,MAVI COKLU ARI,2023,3
905,2023-01-30,GÜNDÜZ,A0011,10.33,1.74,Babet,2023-3,2023,5
906,2023-02-10,GECE,A0003,24.75,6.93,Patik,CODE 3P.XX SHORT,2023,6
907,2023-01-07,GECE,A0009,21.92,7.98,Soket,POLKA DOTA ANKLE BLUE,2023,1
908,2023-02-03,GÜNDÜZ,A0017,12.0,0.0,Patik,BAYAN YILDIZ KABARTMA ,2023,5
909,2023-01-18,GECE,A0028,16.58,4.3,Patik,CODE 3P.XX SHORT,2023,3
910,2023-02-22,GECE,A0007,11.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
911,2023-01-20,GECE,A0030,17.42,4.5,Patik,CODE 3P.XX SHORT,2023,3
912,2023-02-20,GECE,A0005,21.67,11.16,Soket,3P-TENİS HAVLU,2023,8
913,2023-02-09,GECE,A0023,14.0,3.01,Patik,2023-2,2023,6
914,2023-02-08,GÜNDÜZ,A0029,7.75,2.85,Soket,PUNALI SOKET,2023,6
915,2023-02-13,GÜNDÜZ,A0028,8.33,2.9,Soket,PUNALI SOKET,2023,7
916,2023-02-15,GECE,A0018,28.0,0.0,Patik,DERBILI NOKTALI,2023,7
917,2023-01-24,GECE,A0030,15.75,4.3,Patik,CODE 3P.XX SHORT,2023,4
918,2023-02-21,GÜNDÜZ,A0021,8.92,1.77,Patik,BEKLETME DESEN,2023,8
919,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
920,2023-01-10,GÜNDÜZ,A0001,2.0,0.71,Soket,POLKA DOTA ANKLE BLUE,2023,2
921,2023-01-22,GECE,A0002,5.83,2.32,Soket,FLORAL ANKLE,2023,3
922,2023-01-29,GECE,A0005,20.58,10.45,Soket,3P-TENİS HAVLU,2023,4
923,2023-02-17,GECE,A0021,9.92,1.97,Patik,KDK CEMBER,2023,7
924,2023-01-12,GECE,A0027,12.42,4.02,Soket,MANTAR DESEN,2023,2
925,2023-02-03,GÜNDÜZ,A0032,4.25,2.58,Havlu,HAVLU TENIS,2023,5
926,2023-02-13,GÜNDÜZ,A0014,12.75,3.95,Patik,CODE 3P.XX SHORT,2023,7
927,2023-01-09,GÜNDÜZ,A0002,8.25,3.16,Soket,FLORAL ANKLE,2023,2
928,2023-01-04,GECE,A0008,31.83,13.26,Soket,DENIZ MAHSULLERİ,2023,1
929,2023-02-06,GECE,A0001,14.67,4.5,Kısa Konç,KISAKONC,2023,6
930,2023-01-05,GÜNDÜZ,A0012,27.67,8.32,Kısa Konç,BRK-2,2023,1
931,2023-02-21,GECE,A0003,16.08,4.07,Patik,CODE 3P.XX SHORT,2023,8
932,2023-01-05,GECE,A0010,13.17,4.33,Soket,FOX  SAKES,2023,1
933,2023-01-30,GECE,A0029,16.5,5.05,Kısa Konç,KISAKONC,2023,5
934,2023-01-26,GÜNDÜZ,A0028,8.92,2.85,Kısa Konç,KISAKONC,2023,4
935,2023-02-03,GECE,A0014,14.75,5.25,Kısa Konç,KISAKONC,2023,5
936,2023-02-01,GÜNDÜZ,,0.0,0.0,,,2023,5
937,2023-01-06,GÜNDÜZ,A0004,7.83,3.02,Soket,TEK  PAPTYA,2023,1
938,2023-02-20,GECE,A0001,20.58,7.3,Soket,KALPLI SOKET,2023,8
939,2023-02-17,GÜNDÜZ,A0015,10.58,3.29,Patik,CODE 3P.XX SHORT,2023,7
940,2023-01-09,GECE,A0031,11.58,2.19,Babet,3PK LOW CUT NO SHOW SOCKS,2023,2
941,2023-01-10,GECE,A0005,11.75,4.59,Soket,MAVI COKLU ARI,2023,2
942,2023-02-15,GECE,A0003,27.67,7.38,Patik,CODE 3P.XX SHORT,2023,7
943,2023-01-13,GECE,A0005,11.75,4.65,Soket,MAVI COKLU ARI,2023,2
944,2023-02-07,GÜNDÜZ,A0008,8.33,1.56,Babet,KAMUFLAJ  BABET,2023,6
945,2023-01-13,GÜNDÜZ,A0027,7.58,2.47,Soket,MANTAR DESEN,2023,2
946,2023-02-13,GECE,A0026,13.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
947,2023-02-20,GECE,A0001,11.67,3.88,Soket,KALPLI SOKET,2023,8
948,2023-01-10,GECE,A0014,4.5,1.77,Soket,DALLI   PAPTYA,2023,2
949,2023-02-08,GECE,A0015,15.0,4.78,Patik,CODE 3P.XX SHORT,2023,6
950,2023-01-25,GÜNDÜZ,A0014,12.33,3.88,Patik,CODE 3P.XX SHORT,2023,4
951,2023-01-29,GECE,A0022,24.67,5.75,Patik,2023-2,2023,4
952,2023-02-09,GECE,A0026,14.0,0.0,Patik,DERBILI NOKTALI,2023,6
953,2023-01-17,GÜNDÜZ,A0006,11.0,0.0,Patik,CARERA PATİK,2023,3
954,2023-01-15,GÜNDÜZ,A0018,16.0,0.0,Patik,BAYAN SIMLI KARELI  PATIK,2023,2
955,2023-01-13,GECE,A0001,11.75,4.36,Soket,DALGA DESEN,2023,2
956,2023-01-26,GÜNDÜZ,A0002,10.0,3.36,Soket,ÇEMBERLI,2023,4
957,2023-02-21,GECE,A0028,12.17,4.01,Soket,PUNALI SOKET,2023,8
958,2023-02-06,GECE,A0028,15.67,4.28,Patik,CODE 3P.XX SHORT,2023,6
959,2023-02-22,GÜNDÜZ,A0015,14.83,4.62,Patik,CODE 3P.XX SHORT,2023,8
960,2023-01-31,GÜNDÜZ,A0035,11.33,3.46,Patik,CODE 3P.XX SHORT,2023,5
961,2023-01-19,GECE,A0002,11.92,4.63,Soket,FLORAL ANKLE,2023,3
962,2023-02-22,GECE,A0024,13.08,2.35,Babet,2023-3,2023,8
963,2023-01-02,GÜNDÜZ,A0024,10.17,3.93,Soket,FLAMINGO SOKET,2023,1
964,2023-01-30,GÜNDÜZ,A0002,8.92,3.0,Soket,ÇEMBERLI,2023,5
965,2023-01-09,GÜNDÜZ,A0009,8.67,3.09,Soket,POLKA DOTA ANKLE BLUE,2023,2
966,2023-01-07,GECE,A0018,53.0,0.0,Patik,BAYAN SIMLI PUANLI PATIK,2023,1
967,2023-01-23,GECE,A0011,14.0,3.25,Patik,2023-2,2023,4
968,2023-02-22,GÜNDÜZ,A0004,6.0,0.0,Havlu Dizaltı,DERBILI HAVLU DİZALTI,2023,8
969,2023-02-21,GÜNDÜZ,A0034,11.0,0.0,Patik,CARERA PATİK,2023,8
970,2023-01-20,GECE,A0027,16.75,4.59,Patik,CODE 3P.XX SHORT,2023,3
971,2023-02-12,GECE,A0009,27.75,5.9,Patik,TEK NOKTA PATİK,2023,6
972,2023-02-20,GECE,A0029,8.33,3.23,Soket,PUNALI SOKET,2023,8
973,2023-02-01,GÜNDÜZ,A0023,10.25,2.42,Patik,2023-2,2023,5
974,2023-02-02,GECE,A0016,15.5,5.41,Kısa Konç,KISAKONC,2023,5
975,2023-02-06,GECE,A0004,14.83,5.38,Kısa Konç,KISAKONC,2023,6
976,2023-02-22,GÜNDÜZ,A0012,11.25,3.47,Patik,CODE 3P.XX SHORT,2023,8
977,2023-02-03,GECE,A0006,13.0,0.0,Patik,CARERA PATİK,2023,5
978,2023-01-13,GECE,A0008,11.83,4.95,Soket,DENIZ MAHSULLERİ,2023,2
979,2023-02-20,GECE,A0016,27.33,8.53,Patik,CODE 3P.XX SHORT,2023,8
980,2023-01-05,GÜNDÜZ,A0023,20.5,7.65,Soket,FLAMINGO SOKET,2023,1
981,2023-02-21,GECE,A0025,13.0,0.0,Kısa Konç,TAM HAVLU KISA SOKET,2023,8
982,2023-01-12,GÜNDÜZ,A0021,8.25,3.0,Soket,FLORAL ANKLE,2023,2
983,2023-02-09,GÜNDÜZ,A0003,10.83,3.05,Patik,CODE 3P.XX SHORT,2023,6
984,2023-02-07,GÜNDÜZ,A0009,10.25,2.26,Patik,D,2023,6
985,2023-02-13,GECE,A0004,11.0,0.0,Patik,CARERA PATİK,2023,7
986,2023-01-24,GÜNDÜZ,A0030,10.33,2.79,Patik,CODE 3P.XX SHORT,2023,4
987,2023-02-15,GECE,A0009,28.33,6.0,Patik,TEK NOKTA PATİK,2023,7
988,2023-01-26,GÜNDÜZ,A0017,18.0,0.0,Patik,BAYAN KÜÇÜK NOKTA,2023,4
989,2023-02-14,GECE,A0026,18.0,0.0,Kısa Konç,DERBILI CEMBERLİ,2023,7
990,2023-02-17,GECE,A0026,20.0,0.0,Patik,KOPEK PATİK,2023,7
991,2023-01-11,GÜNDÜZ,A0013,8.0,3.25,Soket,EKRU ÇOK ARI,2023,2
992,2023-01-09,GÜNDÜZ,A0034,11.0,0.0,Patik,CARERA PATİK,2023,2
993,2023-01-12,GÜNDÜZ,A0034,10.0,0.0,Patik,CARERA PATİK,2023,2
994,2023-02-14,GECE,A0036,11.42,6.77,Soket,3P-TENİS HAVLU,2023,7
995,2023-02-06,GECE,A0029,16.75,4.49,Patik,CODE 3P.XX SHORT,2023,6
996,2023-01-05,GECE,A0023,10.67,3.98,Soket,FLAMINGO SOKET,2023,1
997,2023-01-02,GECE,A0015,13.67,4.79,Soket,2023-1,2023,1
998,2023-02-05,GECE,A0014,24.17,8.53,Kısa Konç,KISAKONC,2023,5
