Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 09.Feb.2023,GECE,A0026,KARE SIMLI PATİK,3.00,0.000,BAYAN PATİK
 09.Feb.2023,GECE,A0022,2023-2,15.00,3.180,SNİCKERS
 09.Feb.2023,GECE,A0024,DALMACYA  BABET,13.67,2.400,ÇETİK
 09.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,7.92,2.740,BAYAN SOKET
 09.Feb.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,11.17,3.480,PATİK
 09.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,8.17,4.760,SOKET TENİS
 09.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,9.75,1.660,ÇETİK
 08.Feb.2023,GECE,A0028,PUNALI SOKET,11.92,4.120,BAYAN SOKET
 08.Feb.2023,GÜNDÜZ,A0019,BAYAN KONC SIMLI CEMBER,11.33,2.500,BAYAN PATİK
 08.Feb.2023,GECE,A0018,DERBILI NOKTALI,18.00,0.000,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0004,KISAKONC,7.00,2.750,KISA KONÇ
 08.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,7.92,4.640,SOKET TENİS
 08.Feb.2023,GÜNDÜZ,A0021,KISAKONC SİM ÇEMBER,9.50,2.900,BAYAN PATİK
 08.Feb.2023,GECE,A0030,KALPLI SOKET,11.42,4.260,BAYAN SOKET
 08.Feb.2023,GECE,A0016,CODE 3P.XX SHORT,15.67,4.780,PATİK
 08.Feb.2023,GECE,A0006,CARERA PATİK,13.00,0.000,ERKEK PATİK
 08.Feb.2023,GÜNDÜZ,A0009,D,9.92,2.160,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0034,CARERA PATİK,13.00,0.000,ERKEK PATİK
 08.Feb.2023,GÜNDÜZ,A0023,2023-2,9.92,2.140,SNİCKERS
 08.Feb.2023,GÜNDÜZ,A0027,PUNALI SOKET,8.33,2.980,BAYAN SOKET
 08.Feb.2023,GECE,A0019,BAYAN KONC SIMLI CEMBER,16.50,3.630,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0032,3P-TENİS HAVLU,8.08,4.800,SOKET TENİS
 08.Feb.2023,GECE,A0012,KISAKONC,15.08,5.200,KISA KONÇ
 08.Feb.2023,GÜNDÜZ,A0006,CARERA PATİK,9.00,0.000,ERKEK PATİK
 08.Feb.2023,GECE,A0021,KISAKONC SİM ÇEMBER,0.17,4.370,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,9.17,2.820,PATİK
 08.Feb.2023,GECE,A0024,DALMACYA  BABET,14.00,2.460,ÇETİK
 08.Feb.2023,GECE,A0009,D,17.00,3.590,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0008,KAMUFLAJ  BABET,8.75,1.560,ÇETİK
 08.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,16.50,4.310,PATİK
 08.Feb.2023,GECE,A0035,KISAKONC,13.92,4.930,KISA KONÇ
 08.Feb.2023,GECE,A0017,DERBILI CEMBERLİ,15.00,0.000,BAYAN KISAKONC
 08.Feb.2023,GECE,A0029,PUNALI SOKET,11.17,4.250,BAYAN SOKET
 08.Feb.2023,GECE,A0011,CEMBERLI BABET,13.42,2.400,ÇETİK
 08.Feb.2023,GECE,A0033,KÜÇÜK YILDIZ BABET,14.17,2.500,ÇETİK
 08.Feb.2023,GECE,A0025,KISAKONC,12.25,4.340,KISA KONÇ
 08.Feb.2023,GECE,A0032,3P-TENİS HAVLU,11.92,7.120,SOKET TENİS
 08.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,9.75,1.640,ÇETİK
 08.Feb.2023,GECE,A0004,KISAKONC,13.33,5.100,KISA KONÇ
 08.Feb.2023,GECE,A0007,CEMBERLI BABET,14.00,2.370,ÇETİK
 08.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,13.42,3.680,PATİK
 08.Feb.2023,GÜNDÜZ,A0035,KISAKONC,4.17,1.470,KISA KONÇ
 08.Feb.2023,GECE,A0001,KALPLI SOKET,11.42,4.040,BAYAN SOKET
 08.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,15.58,4.810,PATİK
 08.Feb.2023,GECE,A0025,CODE 3P.XX SHORT,2.50,0.770,PATİK
 08.Feb.2023,GÜNDÜZ,A0018,KARE SIMLI PATİK,4.00,0.000,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0031,BUYUK  YILDIZ BABET,9.50,1.630,ÇETİK
 08.Feb.2023,GECE,A0027,PUNALI SOKET,11.83,4.320,BAYAN SOKET
 08.Feb.2023,GÜNDÜZ,A0012,KISAKONC,10.58,3.650,KISA KONÇ
 08.Feb.2023,GECE,A0034,CARERA PATİK,13.00,0.000,ERKEK PATİK
 08.Feb.2023,GÜNDÜZ,A0026,KARE SIMLI PATİK,12.00,0.000,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,9.00,2.450,PATİK
 08.Feb.2023,GECE,A0022,2023-2,14.83,3.180,SNİCKERS
 08.Feb.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,9.17,2.770,PATİK
 08.Feb.2023,GÜNDÜZ,A0011,CEMBERLI BABET,8.75,1.570,ÇETİK
 08.Feb.2023,GÜNDÜZ,A0022,2023-2,10.25,2.200,SNİCKERS
 08.Feb.2023,GECE,A0005,3P-TENİS HAVLU,11.33,6.640,SOKET TENİS
 08.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,5.33,1.890,BAYAN SOKET
 08.Feb.2023,GÜNDÜZ,A0025,KISAKONC,14.50,5.160,KISA KONÇ
 08.Feb.2023,GÜNDÜZ,A0024,DALMACYA  BABET,9.33,1.630,ÇETİK
 08.Feb.2023,GECE,A0015,CODE 3P.XX SHORT,15.00,4.780,PATİK
 08.Feb.2023,GÜNDÜZ,A0029,PUNALI SOKET,7.75,2.850,BAYAN SOKET
 08.Feb.2023,GECE,A0014,CODE 3P.XX SHORT,15.25,4.660,PATİK
 08.Feb.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,9.67,2.940,PATİK
 08.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,15.67,4.390,PATİK
 08.Feb.2023,GÜNDÜZ,A0018,DERBILI NOKTALI,8.00,0.000,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,9.08,2.840,PATİK
 08.Feb.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,15.50,4.090,PATİK
 08.Feb.2023,GÜNDÜZ,A0017,DERBILI CEMBERLİ,11.00,0.000,BAYAN KISAKONC
 08.Feb.2023,GÜNDÜZ,A0030,KALPLI SOKET,4.25,1.600,BAYAN SOKET
 08.Feb.2023,GECE,A0031,BUYUK  YILDIZ BABET,13.92,2.360,ÇETİK
 08.Feb.2023,GECE,A0002,KALPLI SOKET,17.83,6.100,BAYAN SOKET
 08.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,7.75,2.680,BAYAN SOKET
 08.Feb.2023,GECE,A0026,KARE SIMLI PATİK,17.00,0.000,BAYAN PATİK
 08.Feb.2023,GÜNDÜZ,A0033,KÜÇÜK YILDIZ BABET,9.25,1.600,ÇETİK
 08.Feb.2023,GECE,A0008,KAMUFLAJ  BABET,13.75,2.430,ÇETİK
 08.Feb.2023,GECE,A0023,2023-2,14.50,3.120,SNİCKERS
 07.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,7.58,4.450,SOKET TENİS
 07.Feb.2023,GÜNDÜZ,A0001,KISAKONC,10.17,3.020,KISA KONÇ
 07.Feb.2023,GECE,A0017,DERBILI CEMBERLİ,15.00,0.000,BAYAN KISAKONC
 07.Feb.2023,GÜNDÜZ,A0004,KISAKONC,10.33,3.700,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0012,KISAKONC,10.08,3.450,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0015,KISAKONC,10.42,3.690,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,3.83,1.320,BAYAN SOKET
 07.Feb.2023,GÜNDÜZ,A0016,KISAKONC,10.25,3.640,KISA KONÇ
 07.Feb.2023,GECE,A0004,KISAKONC,8.42,3.240,KISA KONÇ
 07.Feb.2023,GECE,A0028,PUNALI SOKET,10.75,3.730,BAYAN SOKET
 07.Feb.2023,GECE,A0014,KISAKONC,14.83,5.210,KISA KONÇ
 07.Feb.2023,GECE,A0009,D,16.58,3.590,BAYAN PATİK
 07.Feb.2023,GECE,A0018,KARE SIMLI PATİK,18.00,0.000,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0018,KARE SIMLI PATİK,14.00,0.000,BAYAN PATİK
 07.Feb.2023,GECE,A0015,KISAKONC,15.17,5.410,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0032,3P-TENİS HAVLU,7.42,4.500,SOKET TENİS
 07.Feb.2023,GÜNDÜZ,A0013,KISAKONC,9.67,3.500,KISA KONÇ
 07.Feb.2023,GECE,A0019,BAYAN KONC SIMLI CEMBER,16.33,3.550,BAYAN PATİK
 07.Feb.2023,GECE,A0007,CEMBERLI BABET,14.08,2.380,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0029,PUNALI SOKET,3.67,1.390,BAYAN SOKET
 07.Feb.2023,GÜNDÜZ,A0021,KISAKONC SİM ÇEMBER,9.92,3.020,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0030,CODE 3P.XX SHORT,13.58,3.680,PATİK
 07.Feb.2023,GECE,A0030,CODE 3P.XX SHORT,16.17,4.410,PATİK
 07.Feb.2023,GECE,A0022,2023-2,12.25,2.690,SNİCKERS
 07.Feb.2023,GECE,A0012,KISAKONC,15.50,5.310,KISA KONÇ
 07.Feb.2023,GECE,A0004,KISAKONC,4.58,1.650,KISA KONÇ
 07.Feb.2023,GECE,A0034,CARERA PATİK,13.00,0.000,ERKEK PATİK
 07.Feb.2023,GECE,A0011,CEMBERLI BABET,13.50,2.430,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0024,NOKTALI  BABET,8.58,1.530,ÇETİK
 07.Feb.2023,GECE,A0032,3P-TENİS HAVLU,12.50,7.500,SOKET TENİS
 07.Feb.2023,GECE,A0021,KISAKONC SİM ÇEMBER,14.75,4.440,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0023,2023-2,9.42,2.200,SNİCKERS
 07.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,15.50,4.320,PATİK
 07.Feb.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,11.58,3.030,PATİK
 07.Feb.2023,GECE,A0031,BUYUK  YILDIZ BABET,14.08,2.400,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0026,KARE SIMLI PATİK,1.00,0.000,BAYAN PATİK
 07.Feb.2023,GECE,A0001,KISAKONC,6.92,2.050,KISA KONÇ
 07.Feb.2023,GECE,A0020,CODE 3P.XX SHORT,16.75,4.470,PATİK
 07.Feb.2023,GÜNDÜZ,A0002,CODE 3P.XX SHORT,16.42,4.410,PATİK
 07.Feb.2023,GÜNDÜZ,A0035,KISAKONC,8.67,2.980,KISA KONÇ
 07.Feb.2023,GECE,A0026,KARE SIMLI PATİK,18.00,0.000,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,1.00,0.000,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0031,BUYUK  YILDIZ BABET,6.75,1.120,ÇETİK
 07.Feb.2023,GECE,A0027,PUNALI SOKET,15.67,5.550,BAYAN SOKET
 07.Feb.2023,GECE,A0005,3P-TENİS HAVLU,11.67,6.820,SOKET TENİS
 07.Feb.2023,GECE,A0008,KAMUFLAJ  BABET,5.83,1.050,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0034,CARERA PATİK,11.00,0.000,ERKEK PATİK
 07.Feb.2023,GECE,A0016,KISAKONC,15.25,5.390,KISA KONÇ
 07.Feb.2023,GECE,A0024,DALMACYA  BABET,14.92,2.610,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0031,2023-3,3.75,0.690,BAYAN BAMBU BABET
 07.Feb.2023,GÜNDÜZ,A0006,CARERA PATİK,10.00,0.000,ERKEK PATİK
 07.Feb.2023,GÜNDÜZ,A0019,BAYAN KONC SIMLI CEMBER,6.25,1.320,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0017,DERBILI CEMBERLİ,8.00,0.000,BAYAN KISAKONC
 07.Feb.2023,GÜNDÜZ,A0009,D,10.25,2.260,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0008,KAMUFLAJ  BABET,8.33,1.560,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0033,KÜÇÜK YILDIZ BABET,7.17,1.220,ÇETİK
 07.Feb.2023,GECE,A0025,KISAKONC,15.17,5.430,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,7.92,1.350,ÇETİK
 07.Feb.2023,GECE,A0033,KÜÇÜK YILDIZ BABET,8.25,1.440,ÇETİK
 07.Feb.2023,GECE,A0023,2023-2,13.92,3.000,SNİCKERS
 07.Feb.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,15.42,4.150,PATİK
 07.Feb.2023,GÜNDÜZ,A0019,BAYAN KONC SIMLI CEMBER,4.58,0.980,BAYAN PATİK
 07.Feb.2023,GECE,A0013,KISAKONC,14.58,5.220,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0022,2023-2,9.33,2.200,SNİCKERS
 07.Feb.2023,GECE,A0029,PUNALI SOKET,10.83,4.280,BAYAN SOKET
 07.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,16.42,4.290,PATİK
 07.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.83,2.980,PATİK
 07.Feb.2023,GECE,A0008,KAMUFLAJ  BABET,6.50,1.230,ÇETİK
 07.Feb.2023,GÜNDÜZ,A0025,KISAKONC,10.17,3.560,KISA KONÇ
 07.Feb.2023,GECE,A0002,CODE 3P.XX SHORT,25.25,6.660,PATİK
 07.Feb.2023,GECE,A0035,KISAKONC,14.08,4.830,KISA KONÇ
 07.Feb.2023,GECE,A0006,CARERA PATİK,13.00,0.000,ERKEK PATİK
 07.Feb.2023,GÜNDÜZ,A0014,KISAKONC,10.08,3.570,KISA KONÇ
 07.Feb.2023,GÜNDÜZ,A0026,KARE SIMLI PATİK,5.00,0.000,BAYAN PATİK
 07.Feb.2023,GÜNDÜZ,A0011,CEMBERLI BABET,6.83,1.230,ÇETİK
 06.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,10.08,2.880,PATİK
 06.Feb.2023,GÜNDÜZ,A0004,KISAKONC,10.33,3.590,KISA KONÇ
 06.Feb.2023,GECE,A0008,KAMUFLAJ  BABET,12.25,2.270,ÇETİK
 06.Feb.2023,GECE,A0027,CODE 3P.XX SHORT,15.92,4.420,PATİK
 06.Feb.2023,GÜNDÜZ,A0009,D,10.00,2.220,BAYAN PATİK
 06.Feb.2023,GECE,A0014,KISAKONC,15.33,5.390,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0019,BAYAN KONC SIMLI CEMBER,10.92,2.360,BAYAN PATİK
 06.Feb.2023,GÜNDÜZ,A0021,KISAKONC SİM ÇEMBER,8.42,2.580,BAYAN PATİK
 06.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,9.50,1.640,ÇETİK
 06.Feb.2023,GÜNDÜZ,A0025,KISAKONC,10.00,3.540,KISA KONÇ
 06.Feb.2023,GECE,A0005,3P-TENİS HAVLU,11.67,6.840,SOKET TENİS
 06.Feb.2023,GECE,A0031,2023-3,13.50,2.350,BAYAN BAMBU BABET
 06.Feb.2023,GÜNDÜZ,A0001,KISAKONC,10.08,3.040,KISA KONÇ
 06.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,16.92,4.450,PATİK
 06.Feb.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,11.25,3.070,PATİK
 06.Feb.2023,GÜNDÜZ,A0002,CODE 3P.XX SHORT,11.58,3.080,PATİK
 06.Feb.2023,GECE,A0032,3P-TENİS HAVLU,10.75,6.380,SOKET TENİS
 06.Feb.2023,GECE,A0002,CODE 3P.XX SHORT,16.17,4.400,PATİK
 06.Feb.2023,GÜNDÜZ,A0030,CODE 3P.XX SHORT,9.17,2.460,PATİK
 06.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,8.08,4.660,SOKET TENİS
 06.Feb.2023,GÜNDÜZ,A0013,CODE 3P.XX SHORT,10.33,3.550,PATİK
 06.Feb.2023,GÜNDÜZ,A0029,CODE 3P.XX SHORT,11.50,3.080,PATİK
 06.Feb.2023,GECE,A0019,BAYAN KONC SIMLI CEMBER,16.92,3.560,BAYAN PATİK
 06.Feb.2023,GÜNDÜZ,A0027,KISAKONC,19.92,6.120,KISA KONÇ
 06.Feb.2023,GECE,A0012,KISAKONC,15.17,5.200,KISA KONÇ
 06.Feb.2023,GECE,A0009,D,16.50,3.530,BAYAN PATİK
 06.Feb.2023,GECE,A0020,CODE 3P.XX SHORT,16.75,4.650,PATİK
 06.Feb.2023,GECE,A0015,KISAKONC,14.42,5.160,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0014,KISAKONC,10.42,3.620,KISA KONÇ
 06.Feb.2023,GECE,A0030,CODE 3P.XX SHORT,15.75,4.300,PATİK
 06.Feb.2023,GECE,A0035,KISAKONC,14.75,5.110,KISA KONÇ
 06.Feb.2023,GECE,A0006,CARERA PATİK,13.00,0.000,ERKEK PATİK
 06.Feb.2023,GÜNDÜZ,A0006,CARERA PATİK,11.00,0.000,ERKEK PATİK
 06.Feb.2023,GECE,A0016,KISAKONC,14.83,5.280,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0017,DERBILI CEMBERLİ,7.00,0.000,BAYAN KISAKONC
 06.Feb.2023,GECE,A0033,2023-3,13.58,2.470,BAYAN BAMBU BABET
 06.Feb.2023,GECE,A0021,KISAKONC SİM ÇEMBER,15.00,4.520,BAYAN PATİK
 06.Feb.2023,GÜNDÜZ,A0016,KISAKONC,10.17,3.630,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0034,CARERA PATİK,9.00,0.000,ERKEK PATİK
 06.Feb.2023,GÜNDÜZ,A0036,SÜPERCITY TENIS,3.17,1.480,SOKET TENİS
 06.Feb.2023,GECE,A0007,CEMBERLI BABET,14.50,2.470,ÇETİK
 06.Feb.2023,GÜNDÜZ,A0012,KISAKONC,10.25,3.500,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0024,NOKTALI  BABET,9.58,1.720,ÇETİK
 06.Feb.2023,GÜNDÜZ,A0011,2023-3,9.58,1.620,BAYAN BAMBU BABET
 06.Feb.2023,GÜNDÜZ,A0032,3P-TENİS HAVLU,7.25,4.320,SOKET TENİS
 06.Feb.2023,GECE,A0025,KISAKONC,14.83,5.250,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0017,BAYAN YILDIZ KABARTMA ,6.00,0.000,BAYAN PATİK
 06.Feb.2023,GECE,A0013,KISAKONC,13.50,4.970,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0015,KISAKONC,10.08,3.540,KISA KONÇ
 06.Feb.2023,GECE,A0022,2023-2,14.75,3.530,SNİCKERS
 06.Feb.2023,GÜNDÜZ,A0008,KAMUFLAJ  BABET,9.42,1.730,ÇETİK
 06.Feb.2023,GECE,A0024,NOKTALI  BABET,13.92,2.500,ÇETİK
 06.Feb.2023,GÜNDÜZ,A0031,2023-3,9.42,1.680,BAYAN BAMBU BABET
 06.Feb.2023,GECE,A0026,KARE SIMLI PATİK,21.00,0.000,BAYAN PATİK
 06.Feb.2023,GECE,A0029,CODE 3P.XX SHORT,16.75,4.490,PATİK
 06.Feb.2023,GECE,A0004,KISAKONC,14.83,5.380,KISA KONÇ
 06.Feb.2023,GECE,A0028,CODE 3P.XX SHORT,15.67,4.280,PATİK
 06.Feb.2023,GECE,A0001,KISAKONC,14.67,4.500,KISA KONÇ
 06.Feb.2023,GECE,A0018,KARE SIMLI PATİK,26.00,0.000,BAYAN PATİK
 06.Feb.2023,GÜNDÜZ,A0018,KARE SIMLI PATİK,6.00,0.000,BAYAN PATİK
 06.Feb.2023,GECE,A0017,DERBILI CEMBERLİ,21.00,0.000,BAYAN KISAKONC
 06.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,14.50,4.090,PATİK
 06.Feb.2023,GÜNDÜZ,A0027,CODE 3P.XX SHORT,9.17,2.530,PATİK
 06.Feb.2023,GÜNDÜZ,A0033,2023-3,9.42,1.710,BAYAN BAMBU BABET
 06.Feb.2023,GECE,A0023,2023-2,14.83,3.520,SNİCKERS
 06.Feb.2023,GECE,A0011,2023-3,13.33,2.230,BAYAN BAMBU BABET
 06.Feb.2023,GÜNDÜZ,A0035,KISAKONC,9.83,3.540,KISA KONÇ
 06.Feb.2023,GÜNDÜZ,A0028,CODE 3P.XX SHORT,9.33,2.530,PATİK
 06.Feb.2023,GÜNDÜZ,A0023,2023-2,10.08,2.390,SNİCKERS
 06.Feb.2023,GÜNDÜZ,A0010,CODE 3P.XX SHORT,11.33,2.980,PATİK
 06.Feb.2023,GECE,A0034,CARERA PATİK,15.00,0.000,ERKEK PATİK
 06.Feb.2023,GÜNDÜZ,A0022,2023-2,9.83,2.340,SNİCKERS
 05.Feb.2023,GECE,A0033,2023-3,23.00,4.200,BAYAN BAMBU BABET
 05.Feb.2023,GECE,A0020,CODE 3P.XX SHORT,28.25,7.770,PATİK
 05.Feb.2023,GECE,A0004,KISAKONC,22.00,7.700,KISA KONÇ
 05.Feb.2023,GECE,A0028,KISAKONC,22.08,6.900,KISA KONÇ
 05.Feb.2023,GECE,A0025,KISAKONC,25.75,9.270,KISA KONÇ
 05.Feb.2023,GECE,A0032,3P-TENİS HAVLU,17.50,10.650,SOKET TENİS
 05.Feb.2023,GECE,A0016,KISAKONC,24.83,8.840,KISA KONÇ
 05.Feb.2023,GECE,A0026,KARE SIMLI PATİK,31.00,0.000,BAYAN PATİK
 05.Feb.2023,GECE,A0024,NOKTALI  BABET,24.50,4.430,ÇETİK
 05.Feb.2023,GECE,A0031,2023-3,24.00,4.310,BAYAN BAMBU BABET
 05.Feb.2023,GECE,A0019,BAYAN KONC SIMLI CEMBER,26.17,5.720,BAYAN PATİK
 05.Feb.2023,GECE,A0027,KISAKONC,22.08,6.800,KISA KONÇ
 05.Feb.2023,GECE,A0002,CODE 3P.XX SHORT,47.42,12.420,PATİK
 05.Feb.2023,GECE,A0008,KAMUFLAJ  BABET,18.67,3.450,ÇETİK
 05.Feb.2023,GECE,A0004,KISAKONC,3.75,1.350,KISA KONÇ
 05.Feb.2023,GECE,A0030,KISAKONC,21.83,6.980,KISA KONÇ
 05.Feb.2023,GECE,A0009,D,28.33,6.350,BAYAN PATİK
 05.Feb.2023,GECE,A0006,CARERA PATİK,27.00,0.000,ERKEK PATİK
 05.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,24.75,8.510,PATİK
 05.Feb.2023,GECE,A0015,KISAKONC,25.25,8.930,KISA KONÇ
 05.Feb.2023,GECE,A0007,CEMBERLI BABET,22.00,3.820,ÇETİK
 05.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,28.33,7.450,PATİK
 05.Feb.2023,GECE,A0014,KISAKONC,24.17,8.530,KISA KONÇ
 05.Feb.2023,GECE,A0022,2023-2,25.17,6.030,SNİCKERS
 05.Feb.2023,GECE,A0023,2023-2,24.67,5.880,SNİCKERS
 05.Feb.2023,GECE,A0018,KARE SIMLI PATİK,31.00,0.000,BAYAN PATİK
 05.Feb.2023,GECE,A0034,CARERA PATİK,20.00,0.000,ERKEK PATİK
 05.Feb.2023,GECE,A0036,SÜPERCITY TENIS,18.83,9.000,SOKET TENİS
 05.Feb.2023,GECE,A0012,KISAKONC,21.75,7.720,KISA KONÇ
 05.Feb.2023,GECE,A0005,3P-TENİS HAVLU,24.83,14.700,SOKET TENİS
 05.Feb.2023,GECE,A0035,KISAKONC,23.25,8.340,KISA KONÇ
 05.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,27.42,7.700,PATİK
 05.Feb.2023,GECE,A0011,2023-3,20.50,3.510,BAYAN BAMBU BABET
 05.Feb.2023,GECE,A0017,BAYAN YILDIZ KABARTMA ,29.00,0.000,BAYAN PATİK
 05.Feb.2023,GECE,A0029,CODE 3P.XX SHORT,28.83,7.840,PATİK
 05.Feb.2023,GECE,A0021,KISAKONC SİM ÇEMBER,23.58,6.670,BAYAN PATİK
 03.Feb.2023,GÜNDÜZ,A0036,SÜPERCITY TENIS,6.33,3.010,SOKET TENİS
 03.Feb.2023,GÜNDÜZ,A0011,2023-3,7.67,1.300,BAYAN BAMBU BABET
 03.Feb.2023,GECE,A0036,SÜPERCITY TENIS,5.75,2.690,SOKET TENİS
 03.Feb.2023,GÜNDÜZ,A0029,WHITE HEEL TOE ANKLE,7.17,2.410,BAYAN SOKET
 03.Feb.2023,GÜNDÜZ,A0004,KISAKONC,2.50,0.880,KISA KONÇ
 03.Feb.2023,GÜNDÜZ,A0007,CEMBERLI BABET,8.17,1.380,ÇETİK
 03.Feb.2023,GECE,A0032,HAVLU TENIS,2.42,1.600,BAYAN ERKEK HAVLU
 03.Feb.2023,GÜNDÜZ,A0020,CODE 3P.XX SHORT,10.00,2.790,PATİK
 03.Feb.2023,GECE,A0033,2023-3,13.92,2.520,BAYAN BAMBU BABET
 03.Feb.2023,GECE,A0031,2023-3,14.00,2.500,BAYAN BAMBU BABET
 03.Feb.2023,GÜNDÜZ,A0019,BAYAN KONC SIMLI CEMBER,9.75,2.130,BAYAN PATİK
 03.Feb.2023,GECE,A0029,WHITE HEEL TOE ANKLE,9.08,3.080,BAYAN SOKET
 03.Feb.2023,GECE,A0035,CODE 3P.XX SHORT,16.75,5.130,PATİK
 03.Feb.2023,GECE,A0005,3P-TENİS HAVLU,11.67,6.890,SOKET TENİS
 03.Feb.2023,GECE,A0023,2023-2,15.00,3.500,SNİCKERS
 03.Feb.2023,GECE,A0012,CODE 3P.XX SHORT,16.08,4.880,PATİK
 03.Feb.2023,GÜNDÜZ,A0014,KISAKONC,6.92,2.470,KISA KONÇ
 03.Feb.2023,GECE,A0010,CODE 3P.XX SHORT,5.25,1.410,PATİK
 03.Feb.2023,GÜNDÜZ,A0018,KARE SIMLI PATİK,6.00,0.000,BAYAN PATİK
 03.Feb.2023,GÜNDÜZ,A0022,2023-2,9.00,2.070,SNİCKERS
 03.Feb.2023,GÜNDÜZ,A0015,KISAKONC,8.75,3.120,KISA KONÇ
 03.Feb.2023,GECE,A0027,KISAKONC,16.58,5.140,KISA KONÇ
 03.Feb.2023,GÜNDÜZ,A0003,CODE 3P.XX SHORT,9.17,2.560,PATİK
 03.Feb.2023,GECE,A0026,KARE SIMLI PATİK,11.00,0.000,BAYAN PATİK
 03.Feb.2023,GECE,A0016,KISAKONC,15.25,5.390,KISA KONÇ
 03.Feb.2023,GÜNDÜZ,A0016,KISAKONC,9.25,3.260,KISA KONÇ
 03.Feb.2023,GECE,A0029,CODE 3P.XX SHORT,4.75,1.290,PATİK
 03.Feb.2023,GÜNDÜZ,A0025,KISAKONC,8.92,3.220,KISA KONÇ
 03.Feb.2023,GÜNDÜZ,A0032,HAVLU TENIS,6.08,4.010,BAYAN ERKEK HAVLU
 03.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,14.75,5.010,PATİK
