Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 21.Feb.2023,GECE,A0020,BAYAN SOKET DUZ,12.50,4.620,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0014,CODE 3P.XX SHORT,10.75,3.380,PATİK
 21.Feb.2023,GÜNDÜZ,A0011,TAM HAVLU KISA SOKET,0.08,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GÜNDÜZ,A0032,DERBILI HAVLU DİZALTI,6.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,6.25,3.990,SOKET TENİS
 21.Feb.2023,GECE,A0033,DERBILI HAVLU DİZALTI,8.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GECE,A0034,TAM HAVLU KISA SOKET,6.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GÜNDÜZ,A0027,PUNALI SOKET,3.50,1.210,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0025,TAM HAVLU KISA SOKET,10.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GECE,A0004,DERBILI HAVLU DİZALTI,10.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GECE,A0001,KALPLI SOKET,12.75,4.290,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0001,KALPLI SOKET,8.50,2.850,BAYAN SOKET
 21.Feb.2023,GECE,A0012,CODE 3P.XX SHORT,16.42,5.070,PATİK
 21.Feb.2023,GÜNDÜZ,A0029,PUNALI SOKET,7.50,2.730,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0002,KALPLI SOKET,9.00,3.150,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0023,KAMUFLAJ PATIK,9.83,2.540,BAYAN PATİK
 21.Feb.2023,GECE,A0017,SİM CEMBER PATİK,16.00,0.000,BAYAN PATİK
 21.Feb.2023,GECE,A0016,CODE 3P.XX SHORT,15.83,4.940,PATİK
 21.Feb.2023,GÜNDÜZ,A0019,CEMBERLI PATIK,10.92,2.290,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0028,PUNALI SOKET,8.75,2.740,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0022,KAMUFLAJ PATIK,9.00,2.730,BAYAN PATİK
 21.Feb.2023,GECE,A0023,KAMUFLAJ PATIK,14.33,3.690,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0020,BAYAN SOKET DUZ,8.75,3.150,BAYAN SOKET
 21.Feb.2023,GECE,A0034,CARERA PATİK,4.00,0.000,ERKEK PATİK
 21.Feb.2023,GECE,A0024,2023-3,13.33,2.400,BAYAN BAMBU BABET
 21.Feb.2023,GECE,A0025,TAM HAVLU KISA SOKET,13.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GÜNDÜZ,A0034,CARERA PATİK,11.00,0.000,ERKEK PATİK
 21.Feb.2023,GECE,A0028,PUNALI SOKET,12.17,4.010,BAYAN SOKET
 21.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,16.08,4.070,PATİK
 21.Feb.2023,GÜNDÜZ,A0021,BEKLETME DESEN,8.92,1.770,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0024,2023-3,9.50,1.680,BAYAN BAMBU BABET
 21.Feb.2023,GÜNDÜZ,A0012,CODE 3P.XX SHORT,11.33,3.500,PATİK
 21.Feb.2023,GECE,A0030,KALPLI SOKET,13.25,4.640,BAYAN SOKET
 21.Feb.2023,GECE,A0009,KABARTMA EKOSE,6.25,1.370,BAYAN PATİK
 21.Feb.2023,GECE,A0009,KABARTMA EKOSE,9.25,1.980,BAYAN PATİK
 21.Feb.2023,GECE,A0006,TAM HAVLU KISA SOKET,13.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GECE,A0032,DERBILI HAVLU DİZALTI,8.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GECE,A0021,BEKLETME DESEN,16.00,3.290,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0010,mıck mause,4.00,1.350,BAYAN SOKET
 21.Feb.2023,GECE,A0029,PUNALI SOKET,11.75,4.280,BAYAN SOKET
 21.Feb.2023,GÜNDÜZ,A0017,SİM CEMBER PATİK,8.00,0.000,BAYAN PATİK
 21.Feb.2023,GECE,A0026,KOPEK PATİK,16.00,0.000,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0015,CODE 3P.XX SHORT,9.42,2.940,PATİK
 21.Feb.2023,GECE,A0018,SİM CEMBER PATİK,18.00,0.000,BAYAN PATİK
 21.Feb.2023,GÜNDÜZ,A0031,DERBILI HAVLU DİZALTI,5.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GECE,A0015,CODE 3P.XX SHORT,15.08,4.770,PATİK
 21.Feb.2023,GECE,A0007,DERBILI HAVLU DİZALTI,9.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GECE,A0031,DERBILI HAVLU DİZALTI,9.00,0.000,HAVLU DİZALTI
 21.Feb.2023,GÜNDÜZ,A0009,KABARTMA EKOSE,10.67,2.330,BAYAN PATİK
 21.Feb.2023,GECE,A0013,CODE 3P.XX SHORT,15.25,4.800,PATİK
 21.Feb.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,11.17,3.500,PATİK
 21.Feb.2023,GÜNDÜZ,A0018,SİM CEMBER PATİK,11.00,0.000,BAYAN PATİK
 21.Feb.2023,GECE,A0011,TAM HAVLU KISA SOKET,12.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 21.Feb.2023,GÜNDÜZ,A0016,CODE 3P.XX SHORT,10.83,3.390,PATİK
 20.Feb.2023,GECE,A0016,CODE 3P.XX SHORT,15.67,4.840,PATİK
 20.Feb.2023,GÜNDÜZ,A0027,PUNALI SOKET,7.92,2.890,BAYAN SOKET
 20.Feb.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,11.00,3.390,PATİK
 20.Feb.2023,GÜNDÜZ,A0008,3P-TENİS HAVLU,8.42,4.450,SOKET TENİS
 20.Feb.2023,GECE,A0026,KOPEK PATİK,21.00,0.000,BAYAN PATİK
 20.Feb.2023,GECE,A0015,CODE 3P.XX SHORT,15.42,4.860,PATİK
 20.Feb.2023,GÜNDÜZ,A0022,CEMBERLI YILDIZLI PATİK,52.67,14.500,BAYAN SOKET
 20.Feb.2023,GECE,A0025,CARERA PATİK,23.00,11.760,ERKEK PATİK
 20.Feb.2023,GÜNDÜZ,A0004,TAM HAVLU KISA SOKET,4.00,0.000,BAYAN ERKEK KISAKONC HAVLU
 20.Feb.2023,GECE,A0028,PUNALI SOKET,21.08,7.650,BAYAN SOKET
 20.Feb.2023,GECE,A0032,3P-TENİS HAVLU,20.00,10.700,SOKET TENİS
