Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 10.Jan.2023,GECE,A0024,11.58,4.490,BAYAN SOKET,FLAMINGO SOKET
 08.Feb.2023,GECE,A0003,15.67,4.390,PATİK,CODE 3P.XX SHORT
 23.Jan.2023,GÜNDÜZ,A0025,11.50,3.690,PATİK,CODE 3P.XX SHORT
 11.Jan.2023,GECE,A0020,12.08,4.260,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 06.Jan.2023,GECE,A0034,2.00,0.000,ERKEK PATİK,CARERA PATİK
 16.Feb.2023,GECE,A0035,16.17,5.040,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0013,14.83,4.910,PATİK,CODE 3P.XX SHORT
 23.Jan.2023,GECE,A0004,15.42,4.800,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0023,9.33,2.210,SNİCKERS,2023-2
 26.Jan.2023,GÜNDÜZ,A0007,10.25,2.150,SNİCKERS,2023-2
 24.Jan.2023,GÜNDÜZ,A0029,9.42,2.480,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0024,12.75,2.340,ÇETİK,NOKTALI  BABET
 27.Jan.2023,GÜNDÜZ,A0032,6.08,4.060,BAYAN ERKEK HAVLU,HAVLU TENIS
 13.Jan.2023,GÜNDÜZ,A0031,2.00,0.380,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 10.Feb.2023,GECE,A0026,29.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 06.Jan.2023,GÜNDÜZ,A0034,9.00,0.000,ERKEK PATİK,CARERA PATİK
 23.Jan.2023,GÜNDÜZ,A0035,11.08,3.430,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GÜNDÜZ,A0021,11.92,2.240,BAYAN PATİK,KDK CEMBER
 22.Jan.2023,GECE,A0025,26.08,8.440,PATİK,CODE 3P.XX SHORT
 27.Jan.2023,GECE,A0015,14.50,5.170,KISA KONÇ,KISAKONC
 16.Feb.2023,GÜNDÜZ,A0020,6.67,2.470,BAYAN SOKET,CEMBERLI SOKET
 26.Jan.2023,GÜNDÜZ,A0021,3.75,1.130,KISA KONÇ,KISAKONC
 20.Feb.2023,GÜNDÜZ,A0029,7.00,2.720,BAYAN SOKET,PUNALI SOKET
 08.Jan.2023,GÜNDÜZ,A0012,22.50,7.830,BAYAN SOKET,2023-1
 22.Feb.2023,GECE,A0030,13.33,4.660,BAYAN SOKET,KALPLI SOKET
 08.Feb.2023,GÜNDÜZ,A0015,9.67,2.940,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GÜNDÜZ,A0001,7.83,2.780,BAYAN SOKET,KALPLI SOKET
 30.Jan.2023,GECE,A0022,15.08,3.450,SNİCKERS,2023-2
 04.Jan.2023,GECE,A0029,30.83,12.560,BAYAN SOKET,FLORAL ANKLE
 20.Feb.2023,GECE,A0024,13.92,2.460,BAYAN BAMBU BABET,2023-3
 16.Feb.2023,GÜNDÜZ,A0028,8.08,2.780,BAYAN SOKET,PUNALI SOKET
 09.Jan.2023,GECE,A0021,8.42,3.000,BAYAN SOKET,FLORAL ANKLE
 26.Jan.2023,GÜNDÜZ,A0006,15.00,0.000,ERKEK PATİK,CARERA PATİK
 18.Jan.2023,GECE,A0013,15.00,4.770,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GÜNDÜZ,A0031,9.17,1.600,ÇETİK,KARE  BABET
 06.Jan.2023,GÜNDÜZ,A0011,10.67,3.260,KISA KONÇ,BRK-2
 20.Feb.2023,GÜNDÜZ,A0011,9.42,1.630,ÇETİK,KALPLI   BABET
 05.Feb.2023,GECE,A0023,24.67,5.880,SNİCKERS,2023-2
 19.Jan.2023,GÜNDÜZ,A0031,9.08,1.600,BAYAN BAMBU BABET,2023-3
 21.Feb.2023,GÜNDÜZ,A0012,11.33,3.500,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0018,13.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 24.Jan.2023,GÜNDÜZ,A0021,11.67,3.070,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GECE,A0033,8.25,1.440,ÇETİK,KÜÇÜK YILDIZ BABET
 11.Jan.2023,GÜNDÜZ,A0008,7.75,3.240,BAYAN SOKET,DENIZ MAHSULLERİ
 16.Jan.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 05.Feb.2023,GECE,A0022,25.17,6.030,SNİCKERS,2023-2
 31.Jan.2023,GECE,A0004,14.83,5.300,KISA KONÇ,KISAKONC
 09.Jan.2023,GECE,A0004,11.92,4.600,BAYAN SOKET,TEK  PAPTYA
 31.Jan.2023,GECE,A0001,13.92,4.720,BAYAN SOKET,WHITE HEEL TOE ANKLE
 10.Feb.2023,GECE,A0030,19.33,7.370,BAYAN SOKET,KALPLI SOKET
 16.Jan.2023,GECE,A0003,11.67,4.060,BAYAN SOKET,RIB ANKLE PURPLE
 23.Jan.2023,GECE,A0010,16.08,4.180,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GECE,A0005,11.75,4.610,BAYAN SOKET,MAVI COKLU ARI
 02.Jan.2023,GÜNDÜZ,A0010,10.42,3.320,BAYAN SOKET,FOX  SAKES
 14.Feb.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 16.Feb.2023,GECE,A0016,15.33,4.780,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0023,14.25,3.360,SNİCKERS,2023-2
 01.Feb.2023,GÜNDÜZ,A0032,3.00,1.700,BAYAN ERKEK HAVLU,HAVLU TENIS
 22.Feb.2023,GECE,A0001,12.75,4.240,BAYAN SOKET,KALPLI SOKET
 13.Feb.2023,GECE,A0030,12.17,4.530,BAYAN SOKET,KALPLI SOKET
 16.Feb.2023,GÜNDÜZ,A0015,10.83,3.370,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GECE,A0018,16.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 13.Feb.2023,GÜNDÜZ,A0029,7.33,2.700,BAYAN SOKET,PUNALI SOKET
 18.Jan.2023,GECE,A0016,8.58,2.730,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GÜNDÜZ,A0018,14.00,0.000,BAYAN PATİK,BAYAN SIMLI PUANLI PATIK
 27.Jan.2023,GECE,A0035,17.00,5.160,PATİK,CODE 3P.XX SHORT
 13.Feb.2023,GÜNDÜZ,A0035,6.67,2.050,PATİK,CODE 3P.XX SHORT
 02.Feb.2023,GÜNDÜZ,A0025,10.08,3.630,KISA KONÇ,KISAKONC
 08.Jan.2023,GÜNDÜZ,A0023,23.92,8.460,BAYAN SOKET,2023-1
 03.Feb.2023,GECE,A0004,15.75,5.160,KISA KONÇ,KISAKONC
 13.Feb.2023,GECE,A0034,9.00,0.000,ERKEK PATİK,CARERA PATİK
 15.Feb.2023,GECE,A0002,20.42,7.420,BAYAN SOKET,KALPLI SOKET
 30.Jan.2023,GECE,A0027,3.25,1.010,KISA KONÇ,KISAKONC
 18.Jan.2023,GÜNDÜZ,A0028,12.25,3.040,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0023,20.75,7.330,BAYAN SOKET,2023-1
 01.Feb.2023,GECE,A0030,16.33,5.180,KISA KONÇ,KISAKONC
 16.Feb.2023,GÜNDÜZ,A0025,9.00,0.000,ERKEK PATİK,CARERA PATİK
 12.Jan.2023,GECE,A0029,10.67,4.260,BAYAN SOKET,FLORAL ANKLE
 05.Jan.2023,GÜNDÜZ,A0003,8.08,2.850,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 24.Jan.2023,GÜNDÜZ,A0012,7.75,3.220,BAYAN SOKET,BRETTY KARAKTER
 11.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 03.Feb.2023,GÜNDÜZ,A0006,9.00,0.000,ERKEK PATİK,CARERA PATİK
 06.Jan.2023,GECE,A0032,5.33,2.070,BAYAN SOKET,DALSIZ PAPTYA
 19.Jan.2023,GÜNDÜZ,A0006,9.00,0.000,ERKEK PATİK,CARERA PATİK
 18.Jan.2023,GECE,A0005,11.75,3.740,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GECE,A0017,18.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 24.Jan.2023,GECE,A0005,14.50,3.360,SNİCKERS,2023-2
 17.Feb.2023,GECE,A0028,11.83,4.210,BAYAN SOKET,PUNALI SOKET
 01.Feb.2023,GECE,A0011,13.92,2.290,BAYAN BAMBU BABET,2023-3
 20.Jan.2023,GÜNDÜZ,A0033,8.50,1.530,BAYAN BAMBU BABET,2023-3
 16.Feb.2023,GÜNDÜZ,A0019,11.00,2.350,BAYAN PATİK,TEK NOKTA PATİK
 03.Feb.2023,GECE,A0020,16.92,4.730,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0005,8.58,4.220,SOKET TENİS,3P-TENİS HAVLU
 25.Jan.2023,GECE,A0011,14.33,3.250,SNİCKERS,2023-2
 03.Feb.2023,GÜNDÜZ,A0030,9.42,2.980,KISA KONÇ,KISAKONC
 04.Jan.2023,GECE,A0006,35.00,0.000,ERKEK PATİK,CARERA PATİK
 07.Feb.2023,GÜNDÜZ,A0007,7.92,1.350,ÇETİK,CEMBERLI BABET
 04.Jan.2023,GECE,A0023,20.67,7.760,BAYAN SOKET,FLAMINGO SOKET
 21.Feb.2023,GÜNDÜZ,A0024,9.50,1.680,BAYAN BAMBU BABET,2023-3
 19.Jan.2023,GÜNDÜZ,A0027,11.42,2.860,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GECE,A0001,16.50,4.910,KISA KONÇ,KISAKONC
 13.Jan.2023,GECE,A0018,19.00,0.000,BAYAN PATİK,BAYAN SIMLI PUANLI PATIK
 17.Feb.2023,GÜNDÜZ,A0023,9.33,2.400,BAYAN SOKET,CEMBERLI YILDIZLI PATİK
 20.Jan.2023,GÜNDÜZ,A0028,5.75,1.560,PATİK,CODE 3P.XX SHORT
 10.Feb.2023,GECE,A0011,22.25,3.900,ÇETİK,CEMBERLI BABET
 06.Jan.2023,GECE,A0006,12.00,0.000,ERKEK PATİK,CARERA PATİK
 17.Feb.2023,GÜNDÜZ,A0027,0.08,0.000,BAYAN SOKET,PUNALI SOKET
 08.Feb.2023,GECE,A0014,15.25,4.660,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0013,5.08,1.700,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GÜNDÜZ,A0012,10.33,3.550,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 20.Jan.2023,GÜNDÜZ,A0017,5.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 19.Jan.2023,GECE,A0015,15.67,4.930,PATİK,CODE 3P.XX SHORT
 16.Jan.2023,GÜNDÜZ,A0005,8.42,3.270,BAYAN SOKET,MAVI COKLU ARI
 07.Feb.2023,GECE,A0025,15.17,5.430,KISA KONÇ,KISAKONC
 07.Jan.2023,GECE,A0035,21.33,8.630,BAYAN SOKET,TEK ARI
 11.Jan.2023,GECE,A0034,17.00,0.000,ERKEK PATİK,CARERA PATİK
 17.Jan.2023,GÜNDÜZ,A0012,9.92,3.160,BAYAN SOKET,2023-1
 16.Feb.2023,GECE,A0010,16.25,4.040,PATİK,CODE 3P.XX SHORT
 22.Jan.2023,GECE,A0018,16.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 20.Feb.2023,GECE,A0015,23.33,7.490,PATİK,CODE 3P.XX SHORT
 07.Jan.2023,GECE,A0011,30.67,9.800,KISA KONÇ,BRK-2
 22.Feb.2023,GECE,A0035,16.50,5.100,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GECE,A0001,6.58,1.780,BAYAN SOKET,EDGE FRIIL
 27.Jan.2023,GÜNDÜZ,A0022,9.33,2.150,SNİCKERS,2023-2
 17.Feb.2023,GECE,A0019,14.67,3.010,BAYAN PATİK,CEMBERLI PATIK
 12.Jan.2023,GÜNDÜZ,A0027,8.92,2.900,BAYAN SOKET,MANTAR DESEN
 15.Feb.2023,GECE,A0004,24.00,0.000,ERKEK PATİK,CARERA PATİK
 19.Jan.2023,GECE,A0027,16.17,4.170,PATİK,CODE 3P.XX SHORT
 22.Jan.2023,GECE,A0028,24.83,6.900,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GÜNDÜZ,A0025,6.92,2.520,KISA KONÇ,KISAKONC
 11.Jan.2023,GECE,A0017,17.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 31.Jan.2023,GECE,A0031,13.58,2.400,BAYAN BAMBU BABET,2023-3
 06.Jan.2023,GECE,A0021,12.08,4.460,BAYAN SOKET,FLORAL ANKLE
 31.Jan.2023,GECE,A0030,16.00,5.010,KISA KONÇ,KISAKONC
 16.Jan.2023,GECE,A0027,12.75,4.160,BAYAN SOKET,MANTAR DESEN
 27.Jan.2023,GÜNDÜZ,A0010,10.17,3.050,KISA KONÇ,KISAKONC
 07.Jan.2023,GECE,A0017,60.00,0.000,BAYAN KISAKONC,TUBE CEMBERLI 
 22.Feb.2023,GECE,A0017,17.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 03.Feb.2023,GÜNDÜZ,A0004,5.75,1.950,KISA KONÇ,KISAKONC
 13.Feb.2023,GECE,A0009,16.58,3.590,BAYAN PATİK,TEK NOKTA PATİK
 13.Jan.2023,GÜNDÜZ,A0009,9.33,2.210,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 10.Jan.2023,GECE,A0023,17.75,6.220,BAYAN SOKET,2023-1
 03.Jan.2023,GÜNDÜZ,A0029,7.50,3.000,BAYAN SOKET,FLORAL ANKLE
 06.Feb.2023,GECE,A0018,26.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 03.Feb.2023,GECE,A0019,5.25,1.150,BAYAN PATİK,BAYAN KONC SIMLI CEMBER
 02.Jan.2023,GECE,A0024,11.83,4.610,BAYAN SOKET,FLAMINGO SOKET
 23.Jan.2023,GÜNDÜZ,A0030,11.67,3.220,PATİK,CODE 3P.XX SHORT
 15.Feb.2023,GECE,A0026,25.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 24.Jan.2023,GECE,A0034,15.00,0.000,ERKEK PATİK,CARERA PATİK
 09.Jan.2023,GÜNDÜZ,A0016,11.83,3.710,KISA KONÇ,BRK-2
 13.Feb.2023,GECE,A0011,10.92,1.930,ÇETİK,CEMBERLI BABET
 12.Jan.2023,GECE,A0006,14.00,0.000,ERKEK PATİK,CARERA PATİK
 10.Feb.2023,GECE,A0006,25.00,0.000,ERKEK PATİK,CARERA PATİK
 08.Jan.2023,GÜNDÜZ,A0031,21.25,3.980,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 07.Feb.2023,GÜNDÜZ,A0033,7.17,1.220,ÇETİK,KÜÇÜK YILDIZ BABET
 17.Jan.2023,GECE,A0005,12.00,4.590,BAYAN SOKET,MAVI COKLU ARI
 27.Jan.2023,GECE,A0006,14.00,0.000,ERKEK PATİK,CARERA PATİK
 27.Jan.2023,GÜNDÜZ,A0003,9.58,2.660,PATİK,CODE 3P.XX SHORT
 15.Jan.2023,GÜNDÜZ,A0035,10.92,4.380,BAYAN SOKET,TEK ARI
 04.Jan.2023,GECE,A0035,31.75,12.870,BAYAN SOKET,TEK ARI
 22.Jan.2023,GECE,A0013,24.83,8.170,PATİK,CODE 3P.XX SHORT
 19.Jan.2023,GECE,A0013,15.25,4.710,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GECE,A0016,15.75,4.910,PATİK,CODE 3P.XX SHORT
 12.Jan.2023,GÜNDÜZ,A0019,8.33,2.870,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 17.Feb.2023,GÜNDÜZ,A0018,2.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 18.Jan.2023,GECE,A0005,1.25,0.000,BAYAN SOKET,MAVI COKLU ARI
 30.Jan.2023,GÜNDÜZ,A0011,10.33,1.740,BAYAN BAMBU BABET,2023-3
 10.Feb.2023,GECE,A0003,24.75,6.930,PATİK,CODE 3P.XX SHORT
 07.Jan.2023,GECE,A0009,21.92,7.980,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 03.Feb.2023,GÜNDÜZ,A0017,12.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 18.Jan.2023,GECE,A0028,16.58,4.300,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GECE,A0007,11.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 20.Jan.2023,GECE,A0030,17.42,4.500,PATİK,CODE 3P.XX SHORT
 20.Feb.2023,GECE,A0005,21.67,11.160,SOKET TENİS,3P-TENİS HAVLU
 09.Feb.2023,GECE,A0023,14.00,3.010,SNİCKERS,2023-2
 08.Feb.2023,GÜNDÜZ,A0029,7.75,2.850,BAYAN SOKET,PUNALI SOKET
 13.Feb.2023,GÜNDÜZ,A0028,8.33,2.900,BAYAN SOKET,PUNALI SOKET
 15.Feb.2023,GECE,A0018,28.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 24.Jan.2023,GECE,A0030,15.75,4.300,PATİK,CODE 3P.XX SHORT
 21.Feb.2023,GÜNDÜZ,A0021,8.92,1.770,BAYAN PATİK,BEKLETME DESEN
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 10.Jan.2023,GÜNDÜZ,A0001,2.00,0.710,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 22.Jan.2023,GECE,A0002,5.83,2.320,BAYAN SOKET,FLORAL ANKLE
 29.Jan.2023,GECE,A0005,20.58,10.450,SOKET TENİS,3P-TENİS HAVLU
 17.Feb.2023,GECE,A0021,9.92,1.970,BAYAN PATİK,KDK CEMBER
 12.Jan.2023,GECE,A0027,12.42,4.020,BAYAN SOKET,MANTAR DESEN
 03.Feb.2023,GÜNDÜZ,A0032,4.25,2.580,BAYAN ERKEK HAVLU,HAVLU TENIS
 13.Feb.2023,GÜNDÜZ,A0014,12.75,3.950,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GÜNDÜZ,A0002,8.25,3.160,BAYAN SOKET,FLORAL ANKLE
 04.Jan.2023,GECE,A0008,31.83,13.260,BAYAN SOKET,DENIZ MAHSULLERİ
 06.Feb.2023,GECE,A0001,14.67,4.500,KISA KONÇ,KISAKONC
 05.Jan.2023,GÜNDÜZ,A0012,27.67,8.320,KISA KONÇ,BRK-2
 21.Feb.2023,GECE,A0003,16.08,4.070,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0010,13.17,4.330,BAYAN SOKET,FOX  SAKES
 30.Jan.2023,GECE,A0029,16.50,5.050,KISA KONÇ,KISAKONC
 26.Jan.2023,GÜNDÜZ,A0028,8.92,2.850,KISA KONÇ,KISAKONC
 03.Feb.2023,GECE,A0014,14.75,5.250,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 06.Jan.2023,GÜNDÜZ,A0004,7.83,3.020,BAYAN SOKET,TEK  PAPTYA
 20.Feb.2023,GECE,A0001,20.58,7.300,BAYAN SOKET,KALPLI SOKET
 17.Feb.2023,GÜNDÜZ,A0015,10.58,3.290,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GECE,A0031,11.58,2.190,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 10.Jan.2023,GECE,A0005,11.75,4.590,BAYAN SOKET,MAVI COKLU ARI
 15.Feb.2023,GECE,A0003,27.67,7.380,PATİK,CODE 3P.XX SHORT
 13.Jan.2023,GECE,A0005,11.75,4.650,BAYAN SOKET,MAVI COKLU ARI
 07.Feb.2023,GÜNDÜZ,A0008,8.33,1.560,ÇETİK,KAMUFLAJ  BABET
 13.Jan.2023,GÜNDÜZ,A0027,7.58,2.470,BAYAN SOKET,MANTAR DESEN
 13.Feb.2023,GECE,A0026,13.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 20.Feb.2023,GECE,A0001,11.67,3.880,BAYAN SOKET,KALPLI SOKET
 10.Jan.2023,GECE,A0014,4.50,1.770,BAYAN SOKET,DALLI   PAPTYA
 08.Feb.2023,GECE,A0015,15.00,4.780,PATİK,CODE 3P.XX SHORT
 25.Jan.2023,GÜNDÜZ,A0014,12.33,3.880,PATİK,CODE 3P.XX SHORT
 29.Jan.2023,GECE,A0022,24.67,5.750,SNİCKERS,2023-2
 09.Feb.2023,GECE,A0026,14.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 17.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 15.Jan.2023,GÜNDÜZ,A0018,16.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 13.Jan.2023,GECE,A0001,11.75,4.360,BAYAN SOKET,DALGA DESEN
 26.Jan.2023,GÜNDÜZ,A0002,10.00,3.360,BAYAN SOKET,ÇEMBERLI
 21.Feb.2023,GECE,A0028,12.17,4.010,BAYAN SOKET,PUNALI SOKET
 06.Feb.2023,GECE,A0028,15.67,4.280,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GÜNDÜZ,A0015,14.83,4.620,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0035,11.33,3.460,PATİK,CODE 3P.XX SHORT
 19.Jan.2023,GECE,A0002,11.92,4.630,BAYAN SOKET,FLORAL ANKLE
 22.Feb.2023,GECE,A0024,13.08,2.350,BAYAN BAMBU BABET,2023-3
 02.Jan.2023,GÜNDÜZ,A0024,10.17,3.930,BAYAN SOKET,FLAMINGO SOKET
 30.Jan.2023,GÜNDÜZ,A0002,8.92,3.000,BAYAN SOKET,ÇEMBERLI
 09.Jan.2023,GÜNDÜZ,A0009,8.67,3.090,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 07.Jan.2023,GECE,A0018,53.00,0.000,BAYAN PATİK,BAYAN SIMLI PUANLI PATIK
 23.Jan.2023,GECE,A0011,14.00,3.250,SNİCKERS,2023-2
 22.Feb.2023,GÜNDÜZ,A0004,6.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 21.Feb.2023,GÜNDÜZ,A0034,11.00,0.000,ERKEK PATİK,CARERA PATİK
 20.Jan.2023,GECE,A0027,16.75,4.590,PATİK,CODE 3P.XX SHORT
 12.Feb.2023,GECE,A0009,27.75,5.900,BAYAN PATİK,TEK NOKTA PATİK
 20.Feb.2023,GECE,A0029,8.33,3.230,BAYAN SOKET,PUNALI SOKET
 01.Feb.2023,GÜNDÜZ,A0023,10.25,2.420,SNİCKERS,2023-2
 02.Feb.2023,GECE,A0016,15.50,5.410,KISA KONÇ,KISAKONC
 06.Feb.2023,GECE,A0004,14.83,5.380,KISA KONÇ,KISAKONC
 22.Feb.2023,GÜNDÜZ,A0012,11.25,3.470,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0006,13.00,0.000,ERKEK PATİK,CARERA PATİK
 13.Jan.2023,GECE,A0008,11.83,4.950,BAYAN SOKET,DENIZ MAHSULLERİ
 20.Feb.2023,GECE,A0016,27.33,8.530,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GÜNDÜZ,A0023,20.50,7.650,BAYAN SOKET,FLAMINGO SOKET
 21.Feb.2023,GECE,A0025,13.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 12.Jan.2023,GÜNDÜZ,A0021,8.25,3.000,BAYAN SOKET,FLORAL ANKLE
 09.Feb.2023,GÜNDÜZ,A0003,10.83,3.050,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GÜNDÜZ,A0009,10.25,2.260,BAYAN PATİK,D
 13.Feb.2023,GECE,A0004,11.00,0.000,ERKEK PATİK,CARERA PATİK
 24.Jan.2023,GÜNDÜZ,A0030,10.33,2.790,PATİK,CODE 3P.XX SHORT
 15.Feb.2023,GECE,A0009,28.33,6.000,BAYAN PATİK,TEK NOKTA PATİK
 26.Jan.2023,GÜNDÜZ,A0017,18.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 14.Feb.2023,GECE,A0026,18.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 17.Feb.2023,GECE,A0026,20.00,0.000,BAYAN PATİK,KOPEK PATİK
 11.Jan.2023,GÜNDÜZ,A0013,8.00,3.250,BAYAN SOKET,EKRU ÇOK ARI
 09.Jan.2023,GÜNDÜZ,A0034,11.00,0.000,ERKEK PATİK,CARERA PATİK
 12.Jan.2023,GÜNDÜZ,A0034,10.00,0.000,ERKEK PATİK,CARERA PATİK
 14.Feb.2023,GECE,A0036,11.42,6.770,SOKET TENİS,3P-TENİS HAVLU
 06.Feb.2023,GECE,A0029,16.75,4.490,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0023,10.67,3.980,BAYAN SOKET,FLAMINGO SOKET
 02.Jan.2023,GECE,A0015,13.67,4.790,BAYAN SOKET,2023-1
 05.Feb.2023,GECE,A0014,24.17,8.530,KISA KONÇ,KISAKONC
 16.Jan.2023,GECE,A0025,15.33,4.900,PATİK,CODE 3P.XX SHORT
 25.Jan.2023,GECE,A0031,13.50,2.390,BAYAN BAMBU BABET,2023-3
 13.Feb.2023,GECE,A0035,11.75,3.600,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GECE,A0003,15.42,4.230,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GECE,A0007,13.25,2.350,ÇETİK,ZIGZAG   BABET
 14.Feb.2023,GECE,A0019,6.92,1.450,BAYAN PATİK,TEK NOKTA PATİK
 25.Jan.2023,GÜNDÜZ,A0011,9.50,2.090,SNİCKERS,2023-2
 23.Jan.2023,GECE,A0023,14.92,3.490,SNİCKERS,2023-2
 02.Jan.2023,GECE,A0014,11.83,4.570,BAYAN SOKET,DALLI   PAPTYA
 08.Jan.2023,GÜNDÜZ,A0013,17.42,6.980,BAYAN SOKET,EKRU ÇOK ARI
 23.Jan.2023,GÜNDÜZ,A0015,10.92,3.340,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GECE,A0007,11.58,4.580,BAYAN SOKET,DENIZ MAHSULLERİ
 17.Jan.2023,GÜNDÜZ,A0027,7.75,1.930,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GECE,A0002,11.75,4.540,BAYAN SOKET,FLORAL ANKLE
 20.Feb.2023,GECE,A0022,3.83,1.050,BAYAN PATİK,KAMUFLAJ PATIK
 11.Jan.2023,GECE,A0019,11.92,4.170,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 10.Feb.2023,GECE,A0021,24.33,7.230,BAYAN PATİK,KISAKONC SİM ÇEMBER
 08.Feb.2023,GÜNDÜZ,A0024,9.33,1.630,ÇETİK,DALMACYA  BABET
 02.Jan.2023,GECE,A0004,12.00,4.770,BAYAN SOKET,TEK  PAPTYA
 20.Feb.2023,GÜNDÜZ,A0025,2.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 20.Feb.2023,GÜNDÜZ,A0030,2.17,0.000,BAYAN SOKET,KALPLI SOKET
 20.Jan.2023,GÜNDÜZ,A0016,9.42,2.870,PATİK,CODE 3P.XX SHORT
 06.Jan.2023,GÜNDÜZ,A0015,9.58,3.360,BAYAN SOKET,2023-1
 16.Feb.2023,GECE,A0003,15.83,4.330,PATİK,CODE 3P.XX SHORT
 13.Jan.2023,GÜNDÜZ,A0002,6.92,2.700,BAYAN SOKET,FLORAL ANKLE
