Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 13.Feb.2023,GÜNDÜZ,A0025,7.00,0.000,ERKEK PATİK,CARERA PATİK
 17.Jan.2023,GÜNDÜZ,A0022,10.08,2.360,SNİCKERS,2023-2
 10.Jan.2023,GECE,A0003,11.58,4.070,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 08.Jan.2023,GÜNDÜZ,A0035,18.75,7.470,BAYAN SOKET,TEK ARI
 03.Feb.2023,GÜNDÜZ,A0001,6.50,2.230,BAYAN SOKET,WHITE HEEL TOE ANKLE
 27.Jan.2023,GECE,A0022,15.08,3.450,SNİCKERS,2023-2
 20.Feb.2023,GECE,A0014,15.67,4.930,PATİK,CODE 3P.XX SHORT
 31.Jan.2023,GÜNDÜZ,A0036,7.67,3.640,SOKET TENİS,SÜPERCITY TENIS
 01.Feb.2023,GECE,A0006,12.00,0.000,ERKEK PATİK,CARERA PATİK
 23.Jan.2023,GECE,A0016,15.67,4.900,PATİK,CODE 3P.XX SHORT
 02.Jan.2023,GÜNDÜZ,A0012,9.83,3.790,BAYAN SOKET,3 LU DERBI CEMBERLI 
 13.Feb.2023,GÜNDÜZ,A0024,11.25,1.970,ÇETİK,DALMACYA  BABET
 03.Feb.2023,GÜNDÜZ,A0027,5.33,1.670,KISA KONÇ,KISAKONC
 22.Feb.2023,GÜNDÜZ,A0011,9.00,0.000,BAYAN ERKEK KISAKONC HAVLU,TAM HAVLU KISA SOKET
 26.Jan.2023,GÜNDÜZ,A0033,13.83,2.530,BAYAN BAMBU BABET,2023-3
 12.Jan.2023,GÜNDÜZ,A0018,16.00,0.000,BAYAN PATİK,BAYAN SIMLI PUANLI PATIK
 15.Jan.2023,GÜNDÜZ,A0021,5.08,1.860,BAYAN SOKET,FLORAL ANKLE
 27.Jan.2023,GÜNDÜZ,A0018,24.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 06.Jan.2023,GECE,A0003,11.67,4.080,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 02.Jan.2023,GECE,A0016,17.17,5.060,KISA KONÇ,BRK-2
 16.Feb.2023,GÜNDÜZ,A0005,6.92,3.600,SOKET TENİS,3P-TENİS HAVLU
 10.Feb.2023,GECE,A0031,22.75,3.890,ÇETİK,BUYUK  YILDIZ BABET
 20.Jan.2023,GECE,A0007,13.75,2.880,SNİCKERS,2023-2
 06.Jan.2023,GECE,A0035,11.42,4.630,BAYAN SOKET,TEK ARI
 10.Feb.2023,GECE,A0024,22.67,3.940,ÇETİK,DALMACYA  BABET
 26.Jan.2023,GÜNDÜZ,A0014,14.00,4.950,KISA KONÇ,KISAKONC
 13.Jan.2023,GECE,A0009,15.67,3.730,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 21.Feb.2023,GÜNDÜZ,A0009,10.67,2.330,BAYAN PATİK,KABARTMA EKOSE
 22.Feb.2023,GÜNDÜZ,A0010,8.50,2.870,BAYAN SOKET,mıck mause
 16.Jan.2023,GECE,A0005,11.83,4.580,BAYAN SOKET,MAVI COKLU ARI
 16.Jan.2023,GÜNDÜZ,A0006,10.00,0.000,ERKEK PATİK,CARERA PATİK
 24.Jan.2023,GÜNDÜZ,A0031,8.75,1.540,BAYAN BAMBU BABET,2023-3
 16.Feb.2023,GECE,A0019,16.92,3.580,BAYAN PATİK,TEK NOKTA PATİK
 18.Jan.2023,GECE,A0012,12.92,5.290,BAYAN SOKET,BUYUK KALP
 13.Feb.2023,GECE,A0036,11.75,6.930,SOKET TENİS,3P-TENİS HAVLU
 31.Jan.2023,GECE,A0026,17.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 18.Jan.2023,GÜNDÜZ,A0025,10.67,3.420,PATİK,CODE 3P.XX SHORT
 30.Jan.2023,GECE,A0032,6.25,3.670,BAYAN ERKEK HAVLU,HAVLU TENIS
 14.Feb.2023,GÜNDÜZ,A0018,14.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 13.Feb.2023,GECE,A0008,11.50,2.050,ÇETİK,KAMUFLAJ  BABET
 19.Jan.2023,GÜNDÜZ,A0002,6.33,2.400,BAYAN SOKET,FLORAL ANKLE
 07.Jan.2023,GECE,A0003,20.08,7.180,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 27.Jan.2023,GÜNDÜZ,A0017,12.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 27.Jan.2023,GECE,A0010,15.58,4.480,KISA KONÇ,KISAKONC
 13.Jan.2023,GECE,A0012,14.50,4.670,BAYAN SOKET,2023-1
 26.Jan.2023,GÜNDÜZ,A0026,17.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 27.Jan.2023,GECE,A0017,14.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 20.Jan.2023,GECE,A0025,18.25,5.730,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GECE,A0024,13.33,3.030,SNİCKERS,2023-2
 02.Feb.2023,GECE,A0029,12.25,4.120,BAYAN SOKET,WHITE HEEL TOE ANKLE
 21.Feb.2023,GECE,A0031,9.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 02.Jan.2023,GECE,A0032,10.42,4.030,BAYAN SOKET,DALSIZ PAPTYA
 25.Jan.2023,GÜNDÜZ,A0003,10.58,2.990,PATİK,CODE 3P.XX SHORT
 13.Feb.2023,GÜNDÜZ,A0018,2.00,0.000,BAYAN PATİK,DERBILI NOKTALI
 06.Feb.2023,GÜNDÜZ,A0022,9.83,2.340,SNİCKERS,2023-2
 13.Jan.2023,GÜNDÜZ,A0015,9.17,3.310,BAYAN SOKET,2023-1
 02.Jan.2023,GÜNDÜZ,A0029,9.75,3.850,BAYAN SOKET,FLORAL ANKLE
 21.Feb.2023,GECE,A0007,9.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 31.Jan.2023,GÜNDÜZ,A0012,10.75,3.220,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GÜNDÜZ,A0033,7.33,2.990,BAYAN SOKET,DENIZ MAHSULLERİ
 10.Jan.2023,GÜNDÜZ,A0025,8.00,2.980,BAYAN SOKET,TEK ARI
 05.Feb.2023,GECE,A0029,28.83,7.840,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GECE,A0019,12.08,4.170,BAYAN SOKET,RIB ANKLE PURPLE
 31.Jan.2023,GECE,A0024,11.75,2.120,ÇETİK,NOKTALI  BABET
 06.Jan.2023,GECE,A0023,14.58,5.210,BAYAN SOKET,2023-1
 07.Feb.2023,GÜNDÜZ,A0011,6.83,1.230,ÇETİK,CEMBERLI BABET
 20.Feb.2023,GECE,A0010,30.17,7.650,PATİK,CODE 3P.XX SHORT
 10.Jan.2023,GÜNDÜZ,A0028,8.42,2.700,BAYAN SOKET,MANTAR DESEN
 16.Jan.2023,GÜNDÜZ,A0017,9.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 10.Jan.2023,GECE,A0010,4.33,1.500,BAYAN SOKET,DALMACYA RENKLI
 02.Feb.2023,GÜNDÜZ,A0034,12.00,0.000,ERKEK PATİK,CARERA PATİK
 13.Jan.2023,GECE,A0029,17.42,4.230,PATİK,CODE 3P.XX SHORT
 22.Feb.2023,GECE,A0016,16.50,5.230,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GÜNDÜZ,A0013,7.75,2.400,PATİK,CODE 3P.XX SHORT
